,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 1. water table,1.02,permanently high,-,-,
3,Soil moisture: 3. supply,1.04,continuous,-,-,
4,Soil pH: 1. extreme maximum,1.06,7.34,-,-,
5,Water pH: 1. extreme maximum,1.06A,7.05,-,-,
6,Soil pH: 2. extreme minimum,1.07,6.44,-,-,
7,Water pH: 2. extreme minimum,1.07A,6.65,-,-,
8,Shade,1.10,light,-,-,
9,Shade,1.10,none,-,-,
10,Status,2.01,native,-,-,
11,Typical abundance where naturally occurring,2.02,scattered,-,-,
12,Dynamics,2.03,declining,-,-,
13,Dynamics,2.03,stable,-,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,SN Index,2.13,2.61,-,-,
16,EW Index,2.14,3.09,-,-,
17,British distribution (post 1949 records),2.15,44,-,-,
18,number of European countries in which native,2.17,13,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,self-supporting,-,-,
21,Height: 1. extreme maximum (cm),3.03,45,-,-,
22,Height: 2. extreme minimum (cm),3.04,9,-,-,
23,Height: 3. typical maximum (cm),3.05,30,-,-,
24,Height: 4. typical minimum (cm),3.06,15,-,-,
25,Spread,3.07,height > width,-,-,
26,Heterophylly,3.08,none,-,-,
27,Leaf shape: 1. type,3.09,simple,-,-,
28,Leaf shape: 2. outline,3.10,entire,-,-,
29,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
30,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
31,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
32,Leaf shape: 6. petiole,3.14,sheathing,-,-,
33,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
34,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,geophyte,-,-,
40,Longevity of stems (yrs),5.02,<1,-,-,
41,Flowering time: 1. earliest month,5.07,5,-,-,
42,Flowering time: 2. latest month,5.08,6,-,-,
43,Pollen vector,5.15,insect,-,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Chromosome number(s): 1. number,5.25,122,,-,
46,Chromosome number(s): 1. number,5.25,80,,-,
47,Normal method of propagation,5.52,seed,-,-,
48,Flower colour,5.58,purple,dark purple,,
49,Petal no,5.59,6,,tepals,
50,Petal (sepal) size (cm),5.60,0.9,0.7-1.1,labellum,
51,Stigma number,5.61,3,,,
52,Stamen number,5.62,1,,,
53,Sepal number,5.63,0,,tepals,
54,Carpel/Style number,5.64,0,,,
55,Inflorescence type,5.65,spicate raceme,,terminal,
56,Rarity Status,7.02,Scarce,,,
57,Change Index,7.03,0.78,,,
58,Biome,7.04,Boreo-Temperate,,,
59,Eastern Limit,7.05,Euro-Siberian,,,
60,Continentality,7.06,Not continental,,,
61,Northern Limit in Britain,7.07,No,,,
62,Southern European Limit,7.10,No Data,,,
63,January mean temperature,7.11,3.9,,,
64,July mean temperature,7.12,15,,,
65,Annual precipitation,7.13,978,,,
66,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
67,Ellenberg Indicator: Light,7.14,8,,,
68,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
69,Ellenberg : Moisture,7.15,8,,,
70,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
71,Ellenberg : Moisture,7.15,9=,,Data calculated for Europe,
72,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
73,Ellenberg: pH,7.16,4,,Data calculated for Europe,
74,Ellenberg: pH,7.16,7,,,
75,Ellenberg Indicator: Nitrogen,7.17,2,,,
76,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
77,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
78,Ellenberg Indicator: Salt,7.18,0,,,
79,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
81,Life Form: normal state,7.19,Non-bulbous geophyte,,,
82,Clonality: normal state,7.21,Little or no vegetative spread,,,
83,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
84,Ellenberg: Temperature,7.23,4,,Data calculated for Europe,
85,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
