,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,native,-,-,
4,Typical abundance where naturally occurring,2.02,scattered,-,-,
5,First historical record: 1. date,2.04,1986,-,-,
6,Height: 3. typical maximum (cm),3.05,21,-,-,
7,Photosynthetic pathway,4.02,C3,-,-,
8,Heavy metal resistance,4.05,none,-,-,
9,Carnivory,4.06,does not kill insects,-,-,
10,Nutrition,4.07,autotrophic,-,-,
11,2C DNA content (pg),5.26,13.37,,,
12,Petal no,5.59,6,,tepals,
13,Stigma number,5.61,3,,,
14,Stamen number,5.62,1,,,
15,Sepal number,5.63,0,,tepals,
16,Carpel/Style number,5.64,0,,,
17,Inflorescence type,5.65,spicate raceme,,terminal,
18,Rarity Status,7.02,Scarce,,,
19,Biome,7.04,Boreal montane,,,
20,Eastern Limit,7.05,European,,,
21,Continentality,7.06,Not continental,,,
22,Northern Limit in Britain,7.07,No,,,
23,Southern European Limit,7.1,No Data,,,
24,January mean temperature,7.11,3.2,,,
25,July mean temperature,7.12,12.5,,,
26,Annual precipitation,7.13,1910,,,
27,Ellenberg Indicator: Light,7.14,8,,,
28,Ellenberg : Moisture,7.15,8,,,
29,Ellenberg: pH,7.16,6,,,
30,Ellenberg Indicator: Nitrogen,7.17,2,,,
31,Ellenberg Indicator: Salt,7.18,0,,,
32,Life Form: normal state,7.19,Non-bulbous geophyte,,,
33,Clonality: normal state,7.21,Little or no vegetative spread,,,
