,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,native,-,-,
4,Typical abundance where naturally occurring,2.02,frequent,-,-,
5,Photosynthetic pathway,4.02,C3,-,-,
6,Heavy metal resistance,4.05,none,-,-,
7,Carnivory,4.06,does not kill insects,-,-,
8,Nutrition,4.07,autotrophic,-,-,
9,Chromosome number(s): 1. number,5.25,80,-,-,
10,Flower colour,5.58,deep purple,"magenta, rose",,
11,Petal no,5.59,6,,tepals,
12,Petal (sepal) size (cm),5.6,0.8,0.7-0.9,labellum,
13,Stigma number,5.61,3,,,
14,Stamen number,5.62,1,,,
15,Sepal number,5.63,0,,tepals,
16,Carpel/Style number,5.64,0,,,
17,Inflorescence type,5.65,spicate raceme,,terminal,
18,Rarity Status,7.02,Present,,,
19,Change Index,7.03,0.47,,,
20,Biome,7.04,Boreal montane,,,
21,Eastern Limit,7.05,Oceanic,,,
22,Continentality,7.06,Not continental,,,
23,Northern Limit in Britain,7.07,No,,,
24,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
25,"Southern European Limit (Latitude, 5C band)",7.09,50-55,,,
26,Southern European Limit,7.1,Yes,,,
27,January mean temperature,7.11,3.1,,,
28,July mean temperature,7.12,13.5,,,
29,Annual precipitation,7.13,1244,,,
30,Ellenberg Indicator: Light,7.14,8,,,
31,Ellenberg : Moisture,7.15,8,,,
32,Ellenberg: pH,7.16,7,,,
33,Ellenberg Indicator: Nitrogen,7.17,2,,,
34,Ellenberg Indicator: Salt,7.18,1,,,
35,Life Form: normal state,7.19,Non-bulbous geophyte,,,
36,Clonality: normal state,7.21,Little or no vegetative spread,,,
