,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Soil moisture: 1. water table,1.02,periodically high,-,-,
2,Soil moisture: 3. supply,1.04,seasonal,-,-,
3,Shade,1.1,none,,-,
4,Altitude: 1. maximum recorded (m),1.12,320,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,6.3,-,-,
9,EW Index,2.14,4.24,-,-,
10,British distribution (post 1949 records),2.15,55,-,-,
11,number of European countries in which native,2.17,11,-,-,
12,Stems: 1. woodiness,3.01,non-woody,-,-,
13,Stems: 2. support,3.02,self-supporting,-,-,
14,Height: 3. typical maximum (cm),3.05,70,-,-,
15,Height: 4. typical minimum (cm),3.06,20,-,-,
16,Spread,3.07,height = width,-,-,
17,Heterophylly,3.08,none,-,-,
18,Leaf shape: 1. type,3.09,simple,-,-,
19,Leaf shape: 2. outline,3.1,entire,-,-,
20,Leaf shape: 2. outline,3.1,entire,,,
21,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
22,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
23,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
24,Leaf shape: 6. petiole,3.14,sheathing,-,-,
25,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
26,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
27,Leaf area (cm2),3.17,0.1-1,-,-,
28,Root system,3.24,fibrous,,,
29,Leaf folding,3.31,rolled,,,
30,Ligule,3.33,0.5,0.2-0.8,narrowly lanceolate,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,hemicryptophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Flowering time: 1. earliest month,5.07,6,-,-,
38,Flowering time: 2. latest month,5.08,7,-,-,
39,Pollen vector,5.15,wind,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Chromosome number(s): 1. number,5.25,14,-,-,
42,Seed weight: 3. mean (mg),5.34,0.1111,,,
43,Flower colour,5.58,green,"brown, purple, white",,
44,Petal no,5.59,0,,,
45,Petal (sepal) size (cm),5.6,0,,,
46,Stigma number,5.61,2,,,
47,Stamen number,5.62,3,,,
48,Sepal number,5.63,0,,,
49,Carpel/Style number,5.64,2,,,
50,Inflorescence type,5.65,panicle,,,
51,"Glume, upper",5.66,0.45,0.4-0.5,"elliptic oblong, acute, 1-nerved",
52,Glume lower,5.67,0.45,0.4-0.5,"narrowly oblong, acute, 3-nerved",
53,Palea,5.68,0.25,,,
54,Lemma,5.69,0.275,0.25-0.3,"oblong, 4-toothed, 4-nerved, awned basally, bent, 0.6",
55,Physical defences on leaves,6.02,glabrous,-,-,
56,Rarity Status,7.02,Scarce,,,
57,Change Index,7.03,-0.04,,,
58,Biome,7.04,Temperate,,,
59,Eastern Limit,7.05,Oceanic,,,
60,Continentality,7.06,Not continental,,,
61,Northern Limit in Britain,7.07,Yes,,,
62,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
63,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
64,Southern European Limit,7.1,No,,,
65,January mean temperature,7.11,3.5,,,
66,July mean temperature,7.12,14,,,
67,Annual precipitation,7.13,1211,,,
68,Ellenberg Indicator: Light,7.14,8,,,
69,Ellenberg : Moisture,7.15,9,,,
70,Ellenberg: pH,7.16,2,,,
71,Ellenberg Indicator: Nitrogen,7.17,1,,,
72,Ellenberg Indicator: Salt,7.18,0,,,
73,Life Form: normal state,7.19,Hemicryptophyte,,,
74,Clonality: normal state,7.21,Tussock forming graminoid,,,
