,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,228,-,-,
4,Altitude: 1. maximum recorded (m),1.12,355,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Dynamics,2.03,declining,-,-,
9,Dynamics,2.03,declining,-,-,
10,First historical record: 1. date,2.04,1597,-,-,
11,First historical record: 2. site,2.05,"Deptford, London",-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 4. continents where introduced,2.12,North America,-,-,
15,SN Index,2.13,3.51,-,-,
16,EW Index,2.14,3.28,-,-,
17,British distribution (post 1949 records),2.15,77,-,-,
18,number of European countries in which native,2.17,23,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,decumbent,-,-,
21,Height: 3. typical maximum (cm),3.05,45,-,-,
22,Height: 4. typical minimum (cm),3.06,15,-,-,
23,Spread,3.07,height = width,-,-,
24,Heterophylly,3.08,none,-,-,
25,Leaf shape: 1. type,3.09,simple,-,-,
26,Leaf shape: 2. outline,3.1,entire,-,-,
27,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
28,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
29,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
31,Leaf shape: 6. petiole,3.14,sessile,-,-,
32,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
33,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
34,Leaf area (cm2),3.17,0.1-1,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,local metallophyte,Pb,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,chamaephyte,-,-,
40,Vegetative reproduction/persistence: 1. method,5.05,creeping stock,-,-,
41,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
42,Flowering time: 1. earliest month,5.07,6,-,-,
43,Flowering time: 2. latest month,5.08,9,-,-,
44,Pollen vector,5.15,insect,-,-,
45,Dicliny,5.16,gynodioecious,,-,
46,Dicliny,5.16,hermaphrodite,-,-,
47,Dichogamy,5.17,markedly protandrous,-,-,
48,Chromosome number(s): 1. number,5.25,30,,-,
49,Chromosome number(s): 1. number,5.25,60,,-,
50,Dispersule size - length of longest axis (mm),5.3,2.3,seed,-,
51,Seed size - length of longest axis (mm),5.31,2.3,seed,-,
52,Seed weight: 3. mean (mg),5.34,0.2,,,
53,Seed weight: 3. mean (mg),5.34,0.23,-,-,
54,Seed production: 3. typical range (/plant),5.37,88,,,
55,Normal method of propagation,5.52,seed,-,-,
56,Flower colour,5.58,pink,"white, red",,
57,Petal no,5.59,5,,,
58,Petal (sepal) size (cm),5.6,0.9,,,
59,Stigma number,5.61,3,,,
60,Stamen number,5.62,10,,,
61,Sepal number,5.63,5,,fused,
62,Carpel/Style number,5.64,2,,,
63,Inflorescence type,5.65,solitary,2-3,terminal,
64,Physical defences on leaves,6.02,stiff hairs,-,-,
65,Physical defences on stems,6.03,stiff hairs,-,-,
66,Physical defences on flowers/fruits,6.04,glabrous,calyx-tube,-,
67,Rarity Status,7.02,Scarce,,,
68,Change Index,7.03,-0.41,,,
69,Biome,7.04,Boreo-Temperate,,,
70,Eastern Limit,7.05,Euro-Siberian,,,
71,Continentality,7.06,Continental,,,
72,Northern Limit in Britain,7.07,No,,,
73,"Northern European Limit (Lat,5C band)",7.08,>65,,,
74,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
75,Southern European Limit,7.1,No,,,
76,January mean temperature,7.11,3.1,,,
77,July mean temperature,7.12,15,,,
78,Annual precipitation,7.13,797,,,
79,Ellenberg Indicator: Light,7.14,8,,,
80,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
82,Ellenberg : Moisture,7.15,3,,,
83,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
84,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
85,Ellenberg: pH,7.16,3,,Data calculated for Europe,
86,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
87,Ellenberg: pH,7.16,5,,,
88,Ellenberg Indicator: Nitrogen,7.17,2,,,
89,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
90,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
91,Ellenberg Indicator: Salt,7.18,0,,,
92,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
94,Life Form: normal state,7.19,Chamaephyte,,,
95,Clonality: normal state,7.21,Little or no vegetative spread,,,
96,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
97,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
98,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
