,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free draining,moist,,
2,Shade,1.1,mid,,,
3,Range: 2. european countries where introduced,2.1,"Esp, Por, Fr, It",,,
4,Range: 4. continents where introduced,2.12,"N America, Australasia ( Nz)",,,
5,Stems: 1. woodiness,3.01,not woody,,,
6,Stems: 1. woodiness,3.01,not woody,,,
7,Stems: 2. support,3.02,self supporting,,,
8,Height: 3. typical maximum (cm),3.05,90,,,
9,Height: 4. typical minimum (cm),3.06,30,,,
10,Spread,3.07,ht > width,,,
11,Heterophylly,3.08,developmental,stem lvs differ from rosette lvs,,
12,Leaf shape: 1. type,3.09,simple,,,
13,Leaf shape: 2. outline,3.1,dentate,obscurely crenate dentate,,
14,Leaf shape: 3. pointed/round,3.11,acute,,,
15,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as broad,,,
16,Leaf shape: 5. leaf base,3.13,150,,,
17,Leaf shape: 5. leaf base,3.13,cuneate,upper lvs may be sessile decurrent,,
18,Leaf shape: 6. petiole,3.14,petiolate,lower lvs,,
19,Leaf shape: 7. minimum petiole length (mm),3.15,20,,,
20,Leaf area (cm2),3.17,190,,,
21,Photosynthetic pathway,4.02,C3,,,
22,Life-form,5.01,Hs,,,
23,Mono/poly-carpic,5.04,polycarpic,,,
24,Flowering time: 1. earliest month,5.07,6,,,
25,Flowering time: 2. latest month,5.08,7,,,
26,Flowering time: 3. peak month,5.09,6,,,
27,Dicliny,5.16,hermaphrodite,,,
28,Dichogamy,5.17,gynomonoecious,,,
29,Chromosome number(s): 1. number,5.25,120,,,
30,Seed size - length of longest axis (mm),5.31,2.4,,,
31,Dispersal agent,5.38,wind,,,
32,Normal method of propagation,5.52,seed,,,
33,Normal method of propagation,5.52,vegetative,,,
34,Flower colour,5.58,yellow,,disk florets,
35,Flower colour,5.58,yellow,,ray florets,
36,Petal no,5.59,5,many,flowers mistaken for petals,
37,Petal (sepal) size (cm),5.6,2.25,1.8-2.7,ray florets,
38,Stigma number,5.61,2,,,
39,Stamen number,5.62,5,,fused into a tube,
40,Sepal number,5.63,0,many,sepaloid phyllaries,
41,Carpel/Style number,5.64,1,,,
42,Inflorescence type,5.65,capitulum,,solitary,
43,Physical defences on leaves,6.02,glandular hairs,,,
44,Physical defences on stems,6.03,glandular hairs,,,
45,Physical defences on flowers/fruits,6.04,glandular hairs,,,
46,Physical defences on flowers/fruits,6.04,glandular hairs,,,
