,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,,
1,Waterlogging tolerance,1.021,2.5,,,
2,Soil moisture: 2. drainage,1.03,free-draining,-,,
3,Soil pH: 1. extreme maximum,1.06,7.8,-,,
4,Soil pH: 2. extreme minimum,1.07,5.9,-,,
5,Shade,1.1,none,-,,
6,Shade tolerance,1.101,1.02,�0.09,,
7,Altitude: 1. maximum recorded (m),1.12,1035,-,,
8,Altitude: 1. maximum recorded (m),1.12,1050,-,,
9,Altitude: 2. minimum recorded (m),1.13,0,-,,
10,Altitude: 4. typical minimum (m),1.14,0,-,,
11,Status,2.01,native,-,,
12,Typical abundance where naturally occurring,2.02,frequent,-,,
13,Dynamics,2.03,stable,-,,
14,First historical record: 1. date,2.04,1650,-,,
15,First historical record: 2. site,2.05,"Galway, Scotland",-,,
16,Range: 3. continents where native,2.11,Asia,-,,
17,Range: 3. continents where native,2.11,Europe,-,,
18,Range: 3. continents where native,2.11,North America,-,,
19,SN Index,2.13,7.74,-,,
20,EW Index,2.14,4.61,-,,
21,British distribution (post 1949 records),2.15,74,-,,
22,number of European countries in which native,2.17,20,-,,
23,Stems: 1. woodiness,3.01,woody,-,,
24,Stems: 2. support,3.02,creeping,-,,
25,Height: 3. typical maximum (cm),3.05,8,-,,
26,Height: 4. typical minimum (cm),3.06,2,-,,
27,Spread,3.07,height < width,-,,
28,Heterophylly,3.08,none,-,,
29,Leaf shape: 1. type,3.09,simple,-,,
30,Leaf shape: 2. outline,3.1,toothed,-,,
31,Leaf shape: 3. pointed/round,3.11,rounded,-,,
32,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,,
33,Leaf shape: 5. leaf base,3.13,rounded,-,,
34,Leaf shape: 5. leaf base,3.13,truncate,-,,
35,Leaf shape: 6. petiole,3.14,petiolate,-,,
36,Leaf area (cm2),3.17,0.1-1,-,,
37,Leaf area (cm2),3.17,1-10,-,,
38,Stomata: 1. surfaces present,3.19,lower,-,,
39,Leaf longevity: 1. type,3.22,evergreen,-,,
40,Root system,3.24,adventitious,-,,
41,Fine root diameter (um),3.27,150-200,,,
42,Fine root diameter (um),3.27,200-300,up to 240um,,
43,Seedling growth rate - maximum (/d),4.01,0.16,-,,
44,Photosynthetic pathway,4.02,C3,-,,
45,Heavy metal resistance,4.05,none,-,,
46,Carnivory,4.06,does not kill insects,-,,
47,Nutrition,4.07,autotrophic,-,,
48,Response to drought,4.08,resists,-,,
49,Drought Tolerance,4.081,3.88,�0,,
50,Response to frost (non-woody tissue),4.09,very resistant,-,,
51,Rgr max,4.12,1.12,�0.22,,
52,rgr,4.13,0.58,�0.07,,
53,Life-form,5.01,chamaephyte,-,,
54,Longevity of stems (yrs),5.02,10-100,-,,
55,Age at first flowering,5.03,2-5 yrs,-,,
56,Mono/poly-carpic,5.04,polycarpic,-,,
57,Flowering time: 1. earliest month,5.07,4,lowland sites,,
58,Flowering time: 1. earliest month,5.07,6,-,,
59,Flowering time: 2. latest month,5.08,7,-,,
60,Pollen vector,5.15,insect,-,,
61,Pollen vector,5.15,insect,-,,
62,Dicliny,5.16,androdioecious,,,
63,Dicliny,5.16,andromonoecious,,,
64,Dicliny,5.16,hermaphrodite,-,,
65,Dichogamy,5.17,homogamous,-,,
66,Dichogamy,5.17,weakly protogynous,-,,
67,Fertilization,5.19,cross or automatic self,-,,
68,Incompatibility systems,5.22,none,-,,
69,Chromosome number(s): 1. number,5.25,18,,,
70,Chromosome number(s): 1. number,5.25,36,,,
71,2C DNA content (pg),5.26,1.15,2n=18,,
72,Time of seed dispersal (season),5.28,summer,-,,
73,Annual seed dispersal,5.29,regular,-,,
