,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,mid,-,-,
1,Altitude: 1. maximum recorded (m),1.12,30,-,-,
2,Altitude: 2. minimum recorded (m),1.13,0,-,-,
3,Status,2.01,native,-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,Stems: 1. woodiness,3.01,non-woody,-,-,
6,Stems: 2. support,3.02,self-supporting,-,-,
7,Height: 1. extreme maximum (cm),3.03,100,-,-,
8,Height: 2. extreme minimum (cm),3.04,15,-,-,
9,Height: 3. typical maximum (cm),3.05,60,-,-,
10,Height: 4. typical minimum (cm),3.06,15,-,-,
11,Spread,3.07,height = width,-,-,
12,Heterophylly,3.08,none,-,-,
13,Leaf shape: 1. type,3.09,compound,-,-,
14,Leaf shape: 2. outline,3.1,toothed,-,-,
15,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
16,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
17,Leaf shape: 5. leaf base,3.13,truncate,-,-,
18,Leaf shape: 6. petiole,3.14,petiolate,-,-,
19,Leaf shape: 7. minimum petiole length (mm),3.15,60,-,-,
20,Leaf shape: 8. maximum petiole length (mm),3.16,300,-,-,
21,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
22,Leaf longevity: 2. number of months,3.23,12-24,-,-,
23,Root system,3.24,adventitious,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,hemicryptophyte,-,-,
27,Mono/poly-carpic,5.04,polycarpic,-,-,
28,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
29,Flowering time: 1. earliest month,5.07,7,sporulation,-,
30,Flowering time: 2. latest month,5.08,9,sporulation,-,
31,Flowering time: 3. peak month,5.09,8,sporulation,-,
32,Chromosome number(s): 1. number,5.25,82,-,-,
33,Physical defences on leaves,6.02,scales,-,-,
34,Physical defences on stems,6.03,Scales,-,-,
35,Rarity Status,7.02,Present,,,
36,Change Index,7.03,-0.04,,,
37,Biome,7.04,Temperate,,,
38,Eastern Limit,7.05,Hyperoceanic,,,
39,Continentality,7.06,Not continental,,,
40,Northern Limit in Britain,7.07,Yes,,,
41,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
42,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
43,Southern European Limit,7.1,No,,,
44,January mean temperature,7.11,4.2,,,
45,July mean temperature,7.12,14,,,
46,Annual precipitation,7.13,1373,,,
47,Ellenberg Indicator: Light,7.14,5,,,
48,Ellenberg : Moisture,7.15,6,,,
49,Ellenberg: pH,7.16,2,,,
50,Ellenberg Indicator: Nitrogen,7.17,3,,,
51,Ellenberg Indicator: Salt,7.18,0,,,
52,Life Form: normal state,7.19,Hemicryptophyte,,,
53,Clonality: normal state,7.21,Little or no vegetative spread,,,
