,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,mid,-,-,
1,Status,2.01,native,-,-,
2,Typical abundance where naturally occurring,2.02,frequent,-,-,
3,Dynamics,2.03,declining,-,-,
4,Range: 3. continents where native,2.11,Asia,-,-,
5,Range: 3. continents where native,2.11,Europe,-,-,
6,Stems: 1. woodiness,3.01,non-woody,-,-,
7,Stems: 2. support,3.02,self-supporting,-,-,
8,Height: 1. extreme maximum (cm),3.03,180,-,-,
9,Height: 2. extreme minimum (cm),3.04,15,-,-,
10,Height: 3. typical maximum (cm),3.05,120,-,-,
11,Height: 4. typical minimum (cm),3.06,15,-,-,
12,Spread,3.07,height > width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,compound,-,-,
15,Leaf shape: 2. outline,3.1,toothed,at the apex only,-,
16,Leaf shape: 3. pointed/round,3.11,rounded,sub-truncate,-,
17,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
18,Leaf shape: 5. leaf base,3.13,decurrent,-,-,
19,Leaf shape: 6. petiole,3.14,petiolate,-,-,
20,Leaf shape: 7. minimum petiole length (mm),3.15,30,-,-,
21,Leaf shape: 8. maximum petiole length (mm),3.16,450,-,-,
22,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
23,Root system,3.24,adventitious,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,hemicryptophyte,-,-,
27,Longevity of stems (yrs),5.02,10-100,-,-,
28,Mono/poly-carpic,5.04,polycarpic,-,-,
29,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
30,Flowering time: 1. earliest month,5.07,7,-,-,
31,Flowering time: 2. latest month,5.08,10,-,-,
32,Flowering time: 3. peak month,5.09,8,-,-,
33,Chromosome number(s): 1. number,5.25,123,-,-,
34,Chromosome number(s): 1. number,5.25,82,-,-,
35,Mean Spore Diameter (Pteridophytes) (µ m ),5.57,44,37-51,-,
36,Mean Spore Diameter (Pteridophytes) (µ m ),5.57,49,40-58,-,
37,Physical defences on leaves,6.02,scales,-,-,
38,Physical defences on stems,6.03,Scales,-,-,
39,Rarity Status,7.02,Present,,,
40,Change Index,7.03,2.44,,,
41,Biome,7.04,Temperate,,,
42,Eastern Limit,7.05,European,,,
43,Continentality,7.06,Not continental,,,
44,Northern Limit in Britain,7.07,No,,,
45,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
46,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
47,Southern European Limit,7.1,No,,,
48,January mean temperature,7.11,3.5,,,
49,July mean temperature,7.12,14,,,
50,Annual precipitation,7.13,1160,,,
51,Ellenberg Indicator: Light,7.14,3,,Data calculated for the Czech Republic,
52,Ellenberg Indicator: Light,7.14,5,,,
53,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
54,Ellenberg : Moisture,7.15,6,,,
55,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
56,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
57,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
58,Ellenberg: pH,7.16,5,,,
59,Ellenberg: pH,7.16,,,Data calculated for Europe,
60,Ellenberg Indicator: Nitrogen,7.17,5,,,
61,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
62,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
63,Ellenberg Indicator: Salt,7.18,0,,,
64,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
65,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
66,Life Form: normal state,7.19,Hemicryptophyte,,,
67,Clonality: normal state,7.21,Little or no vegetative spread,,,
68,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
69,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
70,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
