,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil nutrients,1.01,infertile,,,
2,Soil moisture: 2. drainage,1.03,well drained,,,
3,Shade,1.1,none,,,
4,Range: 3. continents where native,2.11,Europe,S. Europe,,
5,Stems: 1. woodiness,3.01,non-woody,,,
6,Stems: 2. support,3.02,creeping,,,
7,Height: 3. typical maximum (cm),3.05,50,,,
8,Spread,3.07,height greater than width,,,
9,Heterophylly,3.08,none,,,
10,Leaf shape: 1. type,3.09,simple,,,
11,Leaf shape: 2. outline,3.1,lobed,,,
12,Leaf shape: 3. pointed/round,3.11,rounded,,,
13,Leaf shape: 5. leaf base,3.13,1-3 times as long as wide,,,
14,Leaf shape: 6. petiole,3.14,petiolate,,,
15,Leaf longevity: 1. type,3.22,aestival,,,
16,Carnivory,4.06,does not kill insects,,,
17,Nutrition,4.07,autotrophic,,,
18,Response to frost (non-woody tissue),4.09,sensitive,,,
19,Life-form,5.01,geophyte,tuberous roots,,
20,Mono/poly-carpic,5.04,polycarpic,,,
21,Vegetative reproduction/persistence: 1. method,5.05,tubers,,,
22,Pollen vector,5.15,insect,,,
23,Dicliny,5.16,monoecious,,,
24,Chromosome number(s): 1. number,5.25,18,,,
25,2C DNA content (pg),5.26,2.49,,,
26,Annual seed dispersal,5.29,regular,,,
27,Seed weight: 3. mean (mg),5.34,12.4,,,
28,Dispersal agent,5.38,explosive,,,
29,Time of germination (season),5.39,spring,,,
30,Germination requirements 1. chilling,5.45,none,,,
31,Germination requirements 2. light,5.46,none,,,
32,Germination requirements 3. temperature fluctuation,5.47,none,,,
33,Normal method of propagation,5.52,seed and vegetative,,,
34,Flower colour,5.58,yellow,,,
35,Petal no,5.59,5,,,
36,Petal (sepal) size (cm),5.6,5,,,
37,Stigma number,5.61,3,20,,
38,Stamen number,5.62,3,0,,
39,Sepal number,5.63,5,,,
40,Carpel/Style number,5.64,1,0,,
41,Inflorescence type,5.65,solitary,,axillary,
42,Physical defences on leaves,6.02,stiff hairs,,,
43,Physical defences on stems,6.03,stiff hairs,,,
44,Physical defences on flowers/fruits,6.04,stiff hairs,,,
45,Physical defences on buds,6.05,stiff hairs,,,
46,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
47,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
48,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
49,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
50,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
51,Ellenberg: pH,7.16,8,,Data calculated for Europe,
52,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
53,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
54,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
55,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
56,Ellenberg: Temperature,7.23,9,,Data calculated for the Czech Republic,
57,Ellenberg: Temperature,7.23,9,,Data calculated for Europe,
58,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
