,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Salinity,1.05,fresh,-,-,
4,Shade,1.10,none,-,-,
5,Maximum depth of leaves,1.10A,<0.5m,-,-,
6,Maximum depth of leaves,1.10A,>0.5m,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Altitude: 4. typical minimum (m),1.14,0,-,-,
9,Flow,1.15A,nil,-,-,
10,Status,2.01,native,-,-,
11,First historical record: 1. date,2.04,1830,-,-,
12,First historical record: 2. site,2.05,"Aberffraw, Anglesea",-,-,
13,Range: 3. continents where native,2.11,Africa,-,-,
14,Range: 3. continents where native,2.11,Asia,-,-,
15,Range: 3. continents where native,2.11,Europe,-,-,
16,SN Index,2.13,4.47,-,-,
17,EW Index,2.14,5.16,-,-,
18,British distribution (post 1949 records),2.15,19,-,-,
19,number of European countries in which native,2.17,20,-,-,
20,Stems: 1. woodiness,3.01,non-woody,-,-,
21,Leaf position,3.02A,submerged,-,-,
22,Height: 3. typical maximum (cm),3.05,20,-,-,
23,Height: 4. typical minimum (cm),3.06,2.5,-,-,
24,Spread,3.07,height < width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.10,entire,-,-,
28,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
29,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hydrophyte,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
39,Flowering time: 1. earliest month,5.07,7,-,-,
40,Flowering time: 2. latest month,5.08,8,-,-,
41,Dicliny,5.16,hermaphrodite,-,-,
42,Cleistogamy,5.20,some cleistogamous flowers,submerged flowers are cleistogamous,-,
43,Chromosome number(s): 1. number,5.25,c. 40,,-,
44,Seed weight: 3. mean (mg),5.34,0.1255,,,
45,Dispersal agent,5.38,carried by birds,-,-,
46,Dispersal agent,5.38,carried by birds,-,-,
47,Dispersal agent,5.38,water,-,-,
48,Time of germination (season),5.39,spring,,-,
49,Flower colour,5.58,pink-white,,,
50,Petal no,5.59,4,,,
51,Petal (sepal) size (cm),5.60,minute,,,
52,Stigma number,5.61,3,5,,
53,Stamen number,5.62,8,,,
54,Carpel/Style number,5.64,3,5,,
55,Carpel/Style number,5.64,4,,,
56,Inflorescence type,5.65,solitary,cyme,axillary,
57,Rarity Status,7.02,Scarce,,,
58,Change Index,7.03,0.66,,,
59,Biome,7.04,Boreo-Temperate,,,
60,Eastern Limit,7.05,Euro-Siberian,,,
61,Continentality,7.06,Continental,,,
62,Northern Limit in Britain,7.07,No,,,
63,"Northern European Limit (Lat,5C band)",7.08,>65,,,
64,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
65,Southern European Limit,7.10,No,,,
66,January mean temperature,7.11,3.6,,,
67,July mean temperature,7.12,15,,,
68,Annual precipitation,7.13,1072,,,
69,Ellenberg Indicator: Light,7.14,7,,,
70,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
71,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
72,Ellenberg : Moisture,7.15,10,,,
73,Ellenberg : Moisture,7.15,8=,,Data calculated for Europe,
74,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
75,Ellenberg: pH,7.16,2,,Data calculated for Europe,
76,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
77,Ellenberg: pH,7.16,5,,,
78,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
79,Ellenberg Indicator: Nitrogen,7.17,5,,,
80,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Salt,7.18,0,,,
82,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
84,Life Form: normal state,7.19,Hz,,,
85,Clonality: normal state,7.21,Little or no vegetative spread,,,
86,Clonality: less frequent state,7.22,Shortly creeping and rooting at nodes,,,
87,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
88,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
89,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
