,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Salinity,1.05,salt-affected,-,-,
2,Soil pH: 1. extreme maximum,1.06,7.56,-,-,
3,Water pH: 1. extreme maximum,1.06A,7.48,-,-,
4,Soil pH: 2. extreme minimum,1.07,4.02,-,-,
5,Water pH: 2. extreme minimum,1.07A,4.14,-,-,
6,Soil pH: 3. typical maximum,1.08,7.24,-,-,
7,Water pH: 3. typical maximum,1.08A,7.09,-,-,
8,Soil pH: 4. typical minimum,1.09,5.6,-,-,
9,Water pH: 4. typical minimum,1.09A,5.79,-,-,
10,Shade,1.10,none,,-,
11,Altitude: 1. maximum recorded (m),1.12,914,-,-,
12,Altitude: 2. minimum recorded (m),1.13,0,-,-,
13,Altitude: 4. typical minimum (m),1.14,0,-,-,
14,Status,2.01,native,-,-,
15,Typical abundance where naturally occurring,2.02,scattered,-,-,
16,First historical record: 1. date,2.04,1777,-,-,
17,First historical record: 2. site,2.05,Breadalbane,-,-,
18,Range: 3. continents where native,2.11,Asia,-,-,
19,Range: 3. continents where native,2.11,Europe,-,-,
20,Range: 3. continents where native,2.11,North America,-,-,
21,SN Index,2.13,6.45,-,-,
22,EW Index,2.14,5.25,-,-,
23,number of European countries in which native,2.17,24,-,-,
24,Stems: 1. woodiness,3.01,non-woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 3. typical maximum (cm),3.05,30,-,-,
27,Height: 4. typical minimum (cm),3.06,5,-,-,
28,Spread,3.07,height = width,-,-,
29,Heterophylly,3.08,not applicable,no leaves,-,
30,Leaf shape: 1. type,3.09,absent,-,-,
31,Leaf shape: 2. outline,3.10,not applicable,no leaves,-,
32,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
33,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
34,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
35,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
36,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
37,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
38,Photosynthetic pathway,4.02,C3,-,-,
39,Heavy metal resistance,4.05,none,-,-,
40,Carnivory,4.06,does not kill insects,-,-,
41,Nutrition,4.07,autotrophic,-,-,
42,Life-form,5.01,helophyte,-,-,
43,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
44,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
45,Flowering time: 1. earliest month,5.07,6,-,-,
46,Flowering time: 2. latest month,5.08,7,-,-,
47,Pollen vector,5.15,wind,-,-,
48,Dicliny,5.16,hermaphrodite,-,-,
49,Chromosome number(s): 1. number,5.25,132,,-,
50,Chromosome number(s): 1. number,5.25,134,,-,
51,2C DNA content (pg),5.26,1.12,2n=136,,
52,Seed size - length of longest axis (mm),5.31,2.0,nut,-,
53,Seed weight: 3. mean (mg),5.34,1.0353,,,
54,Time of germination (season),5.39,spring,late,-,
55,Time of germination (season),5.39,summer,early,-,
56,Flower colour,5.58,red-brown,,glumes,
57,Petal no,5.59,6,,bristles,
58,Petal (sepal) size (cm),5.60,0.2,0.18-0.22,bristles,
59,Stigma number,5.61,3,,,
60,Stamen number,5.62,3,,,
61,Sepal number,5.63,0,,,
62,Carpel/Style number,5.64,1,,swollen base,
63,Inflorescence type,5.65,spikelet,,solitary,
64,"Glume, upper",5.66,0.5,,,
65,Physical defences on leaves,6.02,glabrous,-,-,
66,Physical defences on stems,6.03,glabrous,-,-,
67,Rarity Status,7.02,Present,,,
68,Change Index,7.03,0.02,,,
69,Biome,7.04,Boreo-Temperate,,,
70,Eastern Limit,7.05,European,,,
71,Continentality,7.06,Not continental,,,
72,Northern Limit in Britain,7.07,No,,,
73,"Northern European Limit (Lat,5C band)",7.08,>65,,,
74,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
75,Southern European Limit,7.10,No,,,
76,January mean temperature,7.11,3.1,,,
77,July mean temperature,7.12,13.5,,,
78,Annual precipitation,7.13,1323,,,
79,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
81,Ellenberg Indicator: Light,7.14,9,,,
82,Ellenberg : Moisture,7.15,9,,,
83,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
84,Ellenberg : Moisture,7.15,9,,Data calculated for Europe,
85,Ellenberg: pH,7.16,7,,,
86,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
87,Ellenberg: pH,7.16,7,,Data calculated for Europe,
88,Ellenberg Indicator: Nitrogen,7.17,2,,,
89,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
91,Ellenberg Indicator: Salt,7.18,0,,,
92,Ellenberg Indicator: Salt,7.18,1,,Data calculated for Europe,
93,Ellenberg Indicator: Salt,7.18,2,,Data calculated for the Czech Republic,
94,Life Form: normal state,7.19,Hemicryptophyte,,,
95,Clonality: normal state,7.21,Rhizome shortly creeping,,,
96,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
97,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
98,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
