,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,400,-,-,
4,Status,2.01,naturalised,-,-,
5,Typical abundance where naturally occurring,2.02,frequent,-,-,
6,Dynamics,2.03,increasing,-,-,
7,Dynamics,2.03,increasing,-,-,
8,First historical record: 1. date,2.04,1891,-,-,
9,First historical record: 2. site,2.05,"Cropston Reservoir, Leicestershire",-,-,
10,Range: 3. continents where native,2.11,North America,-,-,
11,Range: 4. continents where introduced,2.12,Australasia,-,-,
12,Range: 4. continents where introduced,2.12,Europe,-,-,
13,SN Index,2.13,2.31,-,-,
14,EW Index,2.14,4.57,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 1. extreme maximum (cm),3.03,150,-,-,
18,Height: 2. extreme minimum (cm),3.04,30,-,-,
19,Height: 3. typical maximum (cm),3.05,90,-,-,
20,Height: 4. typical minimum (cm),3.06,60,-,-,
21,Spread,3.07,height > width,-,-,
22,Heterophylly,3.08,none,-,-,
23,Leaf shape: 1. type,3.09,simple,-,-,
24,Leaf shape: 2. outline,3.1,toothed,-,-,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,cordate,-,-,
28,Leaf shape: 5. leaf base,3.13,rounded,-,-,
29,Leaf shape: 6. petiole,3.14,petiolate,-,-,
30,Leaf shape: 7. minimum petiole length (mm),3.15,1.5,-,-,
31,Leaf shape: 8. maximum petiole length (mm),3.16,3,-,-,
32,Leaf area (cm2),3.17,10-100,-,-,
33,Leaf longevity: 1. type,3.22,evergreen,-,-,
34,Root system,3.24,adventitious,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,chamaephyte,-,-,
40,Life-form,5.01,hemicryptophyte,-,-,
41,Age at first flowering,5.03,<6 weeks,-,-,
42,Mono/poly-carpic,5.04,polycarpic,-,-,
43,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
44,Flowering time: 1. earliest month,5.07,6,-,-,
45,Flowering time: 2. latest month,5.08,8,-,-,
46,Pollen vector,5.15,selfed,-,-,
47,Dicliny,5.16,hermaphrodite,-,-,
48,Fertilization,5.19,normally self,-,-,
49,Incompatibility systems,5.22,none,-,-,
50,Pollen/ovule ratio,5.23,10.8,,-,
51,Chromosome number(s): 1. number,5.25,36,-,-,
52,2C DNA content (pg),5.26,1.05,2n=36,,
53,Appendages on dispersal unit,5.27,plume of hairs,-,-,
54,Time of seed dispersal (season),5.28,summer,-,-,
55,Dispersule size - length of longest axis (mm),5.3,5.0,seed dispersed with a plume of hairs,-,
56,Seed size - length of longest axis (mm),5.31,1.3,dispersed with a plume of hairs c.5mm,-,
57,Seed weight: 3. mean (mg),5.34,0.06,-,-,
58,Seed weight: 3. mean (mg),5.34,0.06,,,
59,Seed weight: 3. mean (mg),5.34,0.07,,,
60,Seed weight: 3. mean (mg),5.34,0.13,-,-,
61,Seed production: 2. typical range (/flower),5.36,100-1000,-,-,
62,Dispersal agent,5.38,wind,-,-,
63,Time of germination (season),5.39,autumn,-,-,
64,Time of germination (season),5.39,summer,early,-,
65,After-ripening requirement,5.4,none,-,-,
66,Maximum temperature at which 50% seeds germinate,5.42,36,-,-,
67,Minimum temperature at which 50% seeds germinate,5.44,8,-,-,
68,Germination requirements 2. light,5.46,absolute,-,-,
69,Germination type,5.48,epigeal,-,-,
70,Normal method of propagation,5.52,seed and vegetative,-,-,
71,Seedbank type,5.53,long-term persistent,-,-,
72,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
73,Seedbank type,5.53,short-term persistent,-,-,
74,Maximum seedbank density (m2),5.54,4938,-,-,
75,Minimum seedbank density (m2),5.55,6,-,-,
76,Mean seedbank density (m2),5.56,572,-,-,
77,Flower colour,5.58,pink,,,
78,Petal no,5.59,4,,,
79,Petal (sepal) size (cm),5.6,0.45,0.3-0.6,,
80,Stigma number,5.61,1,,,
81,Stamen number,5.62,8,,,
82,Sepal number,5.63,4,,,
83,Carpel/Style number,5.64,1,,,
84,Inflorescence type,5.65,corymbose raceme,,terminal,
85,Physical defences on leaves,6.02,glabrous,-,-,
86,Physical defences on stems,6.03,glabrous,below,-,
87,Physical defences on stems,6.03,glandular hairs,above,-,
88,Physical defences on stems,6.03,stiff hairs,above,-,
89,Change Index,7.03,3.88,,,
90,Biome,7.04,Mediterranean,,,
91,Eastern Limit,7.05,Hyperoceanic,,,
92,Continentality,7.06,Not continental,,,
93,Northern Limit in Britain,7.07,No,,,
94,Southern European Limit,7.1,No Data,,,
95,January mean temperature,7.11,3.7,,,
96,July mean temperature,7.12,15,,,
97,Annual precipitation,7.13,972,,,
98,Ellenberg Indicator: Light,7.14,7,,,
99,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
100,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
101,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
102,Ellenberg : Moisture,7.15,6,,,
103,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
104,Ellenberg: pH,7.16,5,,Data calculated for the Czech Republic,
