,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,non woody,,,
1,Height: 3. typical maximum (cm),3.05,70,,,
2,Height: 4. typical minimum (cm),3.06,8,,,
3,Heterophylly,3.08,none,,,
4,Leaf shape: 1. type,3.09,simple,,,
5,Leaf shape: 3. pointed/round,3.11,pointed,,,
6,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
7,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
8,Leaf shape: 6. petiole,3.14,sheathing,,,
9,Root system,3.24,fibrous,,,
10,Ligule,3.33,,,fringe of hairs,
11,Longevity of stems (yrs),5.02,<1,,,
12,Chromosome number(s): 1. number,5.25,203036640506072,,,
13,Seed weight: 3. mean (mg),5.34,0.074,,,
14,Flower colour,5.58,green,"brown, purple, white",,
15,Petal no,5.59,0,,,
16,Petal (sepal) size (cm),5.6,0,,,
17,Stigma number,5.61,2,,,
18,Stamen number,5.62,3,,,
19,Sepal number,5.63,0,,,
20,Carpel/Style number,5.64,,,,
21,Carpel/Style number,5.64,2,,,
22,Inflorescence type,5.65,panicle,,"open, elliptic or ovate",
23,"Glume, upper",5.66,0.1,,"ovate, acute, 1 nerved",
24,Glume lower,5.67,0.06,0.05-0.07,"ovate, acute, 0 nerved",
25,Lemma,5.69,0.13,0.1-0.16,"ovate, obtuse or acute, 3-nerved",
26,Physical defences on leaves,6.02,glabrous,,,
27,Physical defences on stems,6.03,glabrous,,,
28,Physical defences on flowers/fruits,6.04,glabrous,,,
29,Physical defences on buds,6.05,glabrous,,,
30,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
31,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
32,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
33,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
34,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
35,Ellenberg: pH,7.16,,,Data calculated for Europe,
36,Ellenberg Indicator: Nitrogen,7.17,6x,,Data calculated for the Czech Republic,
37,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
38,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
39,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
40,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
41,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
42,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
