,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 1. water table,1.02,periodically high,Cornwall,-,
2,Waterlogging tolerance,1.021,2.83,,,
3,Soil moisture: 2. drainage,1.03,free-draining,Ireland,-,
4,Soil moisture: 3. supply,1.04,continuous,Ireland,-,
5,Soil pH: 3. typical maximum,1.08,7.5,-,-,
6,Soil pH: 4. typical minimum,1.09,4.5,-,-,
7,Shade,1.1,none,-,-,
8,Shade tolerance,1.101,1.2,,,
9,Altitude: 1. maximum recorded (m),1.12,91,-,-,
10,Altitude: 2. minimum recorded (m),1.13,76,-,-,
11,Status,2.01,native,-,-,
12,First historical record: 1. date,2.04,1670,-,-,
13,First historical record: 2. site,2.05,"Lizard Pt., Cornwall",-,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,SN Index,2.13,1.5,-,-,
16,EW Index,2.14,7.35,-,-,
17,number of European countries in which native,2.17,3,-,-,
18,Stems: 1. woodiness,3.01,woody,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 3. typical maximum (cm),3.05,80,-,-,
21,Height: 4. typical minimum (cm),3.06,30,-,-,
22,Spread,3.07,height = width,-,-,
23,Heterophylly,3.08,none,-,-,
24,Leaf shape: 1. type,3.09,simple,-,-,
25,Leaf shape: 2. outline,3.1,entire,-,-,
26,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
27,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
28,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
29,Leaf shape: 6. petiole,3.14,petiolate,-,-,
30,Leaf shape: 7. minimum petiole length (mm),3.15,1,-,-,
31,Leaf area (cm2),3.17,<0.1,-,-,
32,Leaf longevity: 1. type,3.22,evergreen,-,-,
33,Root depth: 1. type,3.25,shallow,-,-,
34,Photosynthetic pathway,4.02,C3,-,-,
35,Heavy metal resistance,4.05,none,-,-,
36,Carnivory,4.06,does not kill insects,-,-,
37,Nutrition,4.07,autotrophic,-,-,
38,Drought Tolerance,4.081,2.21,,,
39,Life-form,5.01,phanerophyte,-,-,
40,Mono/poly-carpic,5.04,polycarpic,-,-,
41,Flowering time: 1. earliest month,5.07,7,-,-,
42,Flowering time: 2. latest month,5.08,8,-,-,
43,Pollen vector,5.15,insect,-,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Chromosome number(s): 1. number,5.25,24,-,-,
46,Seed weight: 3. mean (mg),5.34,0.048,,,
47,Seed weight: 3. mean (mg),5.34,0.05,-,-,
48,Normal method of propagation,5.52,vegetative,Ireland,-,
49,Flower colour,5.58,pale lilac,,,
50,Petal no,5.59,4,,,
51,Petal (sepal) size (cm),5.6,0.35,0.3-0.4,,
52,Stigma number,5.61,1,,,
53,Stamen number,5.62,8,,,
54,Sepal number,5.63,4,,,
55,Carpel/Style number,5.64,1,,,
56,Inflorescence type,5.65,raceme,,sub terminal,
57,Physical defences on leaves,6.02,glabrous,-,-,
58,Physical defences on stems,6.03,glabrous,-,-,
59,Rarity Status,7.02,Rare,,,
60,Change Index,7.03,-0.07,,,
61,Biome,7.04,Southern Temperate,,,
62,Eastern Limit,7.05,Oceanic,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,Yes,,,
65,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
66,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
67,Southern European Limit,7.1,No,,,
68,January mean temperature,7.11,6,,,
69,July mean temperature,7.12,15.5,,,
70,Annual precipitation,7.13,1047,,,
71,Ellenberg Indicator: Light,7.14,8,,,
72,Ellenberg : Moisture,7.15,6,,,
73,Ellenberg: pH,7.16,4,,,
74,Ellenberg Indicator: Nitrogen,7.17,1,,,
75,Ellenberg Indicator: Salt,7.18,0,,,
76,Life Form: normal state,7.19,Nanophanerophyte,,,
77,Clonality: normal state,7.21,Little or no vegetative spread,,,
