,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Salinity,1.05,salt-affected,-,-,
3,Shade,1.1,light,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,426,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Altitude: 4. typical minimum (m),1.14,0,-,-,
8,Status,2.01,native,-,-,
9,Typical abundance where naturally occurring,2.02,frequent,-,-,
10,First historical record: 1. date,2.04,1632,-,-,
11,First historical record: 2. site,2.05,"Faversham, Kent",-,-,
12,Range: 3. continents where native,2.11,Africa,,-,
13,Range: 3. continents where native,2.11,Asia,,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,Range: 3. continents where native,2.11,North America,,-,
16,SN Index,2.13,1.87,-,-,
17,EW Index,2.14,3.75,-,-,
18,number of European countries in which native,2.17,25,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,self-supporting,-,-,
21,Height: 1. extreme maximum (cm),3.03,100,,-,
22,Height: 2. extreme minimum (cm),3.04,5,,-,
23,Height: 3. typical maximum (cm),3.05,40,-,-,
24,Height: 4. typical minimum (cm),3.06,8,-,-,
25,Spread,3.07,height > width,-,-,
26,Heterophylly,3.08,none,-,-,
27,Leaf shape: 1. type,3.09,simple,-,-,
28,Leaf shape: 2. outline,3.1,entire,-,-,
29,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
30,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
31,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
32,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
33,Leaf shape: 6. petiole,3.14,clasping,-,-,
34,Leaf shape: 6. petiole,3.14,petiolate,-,-,
35,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
36,Leaf area (cm2),3.17,1-10,-,-,
37,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
38,Photosynthetic pathway,4.02,C3,-,-,
39,Heavy metal resistance,4.05,none,-,-,
40,Carnivory,4.06,does not kill insects,-,-,
41,Nutrition,4.07,autotrophic,-,-,
42,Life-form,5.01,hemicryptophyte,-,-,
43,Life-form,5.01,therophyte,-,-,
44,Mono/poly-carpic,5.04,facultatively polycarpic,-,-,
