,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,-,-,
2,Status,2.01,naturalised,-,-,
3,Typical abundance where naturally occurring,2.02,frequent,-,-,
4,Range: 3. continents where native,2.11,North America,-,-,
5,Range: 4. continents where introduced,2.12,Europe,-,-,
6,Range: 4. continents where introduced,2.12,South America,,-,
7,SN Index,2.13,.73,-,-,
8,EW Index,2.14,8.15,-,-,
9,Stems: 1. woodiness,3.01,woody at base,-,-,
10,Stems: 2. support,3.02,self-supporting,-,-,
11,Height: 1. extreme maximum (cm),3.03,60,,-,
12,Height: 3. typical maximum (cm),3.05,25,-,-,
13,Height: 4. typical minimum (cm),3.06,10,-,-,
14,Spread,3.07,height = width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,lobed,-,-,
18,Leaf shape: 2. outline,3.1,toothed,-,-,
19,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
20,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
21,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
23,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
24,Photosynthetic pathway,4.02,C3,-,-,
25,Heavy metal resistance,4.05,none,-,-,
26,Carnivory,4.06,does not kill insects,-,-,
27,Nutrition,4.07,autotrophic,-,-,
28,Life-form,5.01,chamaephyte,-,-,
29,Flowering time: 1. earliest month,5.07,7,-,-,
30,Flowering time: 2. latest month,5.08,8,-,-,
31,Pollen vector,5.15,insect,-,-,
32,Dicliny,5.16,gynomonoecious,-,-,
33,Fertilization,5.19,apomictic,-,-,
34,Chromosome number(s): 1. number,5.25,36,,-,
35,Appendages on dispersal unit,5.27,pappus,-,-,
36,Seed size - length of longest axis (mm),5.31,1.5,"achene, dispersed with a pappus",-,
37,Flower colour,5.58,white,mauve,ligule,
38,Flower colour,5.58,yellow,,disc florets,
39,Petal no,5.59,5,many,flowers mistaken for petals,
40,Petal (sepal) size (cm),5.6,0.25,0.2-0.3,disc florets,
41,Petal (sepal) size (cm),5.6,0.65,0.5-0.8,ligule,
42,Stigma number,5.61,2,,,
43,Stamen number,5.62,5,,fused into a tube,
44,Sepal number,5.63,0,many,sepaloid phyllaries,
45,Carpel/Style number,5.64,1,,,
46,Inflorescence type,5.65,capitulum,,,
47,Physical defences on leaves,6.02,hairy,sparsely hairy,-,
48,Physical defences on stems,6.03,hairy,sparse,-,
49,Physical defences on flowers/fruits,6.04,hairy,fruit,-,
50,Change Index,7.03,2.37,,,
51,Biome,7.04,Mediterranean,,,
52,Eastern Limit,7.05,Hyperoceanic,,,
53,Continentality,7.06,Not continental,,,
54,Northern Limit in Britain,7.07,No,,,
55,Southern European Limit,7.1,No Data,,,
56,January mean temperature,7.11,4.6,,,
57,July mean temperature,7.12,16,,,
58,Annual precipitation,7.13,904,,,
59,Ellenberg Indicator: Light,7.14,8,,,
60,Ellenberg : Moisture,7.15,3,,,
61,Ellenberg: pH,7.16,7,,,
62,Ellenberg Indicator: Nitrogen,7.17,2,,,
63,Ellenberg Indicator: Salt,7.18,0,,,
64,Life Form: normal state,7.19,Chamaephyte,,,
65,Clonality: normal state,7.21,Little or no vegetative spread,,,
