,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Water nutrients,1.01A,oligotrophic,-,-,
2,Soil moisture: 1. water table,1.02,permanently high,-,-,
3,Soil moisture: 3. supply,1.04,continuous,-,-,
4,Salinity,1.05,salt-affected,-,-,
5,Soil pH: 1. extreme maximum,1.06,7.6,-,-,
6,Water pH: 1. extreme maximum,1.06A,7.48,-,-,
7,Soil pH: 2. extreme minimum,1.07,2.2,-,-,
8,Soil pH: 2. extreme minimum,1.07,3.7,-,-,
9,Water pH: 2. extreme minimum,1.07A,2.88,-,-,
10,Soil pH: 3. typical maximum,1.08,6.27,-,-,
11,Water pH: 3. typical maximum,1.08A,6.15,-,-,
12,Soil pH: 4. typical minimum,1.09,4.41,-,-,
13,Water pH: 4. typical minimum,1.09A,4.37,-,-,
14,Shade,1.10,none,,-,
15,Altitude: 1. maximum recorded (m),1.12,1060,-,-,
16,Altitude: 2. minimum recorded (m),1.13,0,-,-,
17,Altitude: 4. typical minimum (m),1.14,0,-,-,
18,Flow,1.15A,nil,-,-,
19,Flow,1.15A,slight,-,-,
20,Status,2.01,native,-,-,
21,Typical abundance where naturally occurring,2.02,dominant,-,-,
22,Dynamics,2.03,declining,-,-,
23,First historical record: 1. date,2.04,1597,-,-,
24,First historical record: 2. site,2.05,"Hampstead, London",-,-,
25,Range: 3. continents where native,2.11,Asia,-,-,
26,Range: 3. continents where native,2.11,Europe,-,-,
27,Range: 3. continents where native,2.11,North America,-,-,
28,SN Index,2.13,4.78,-,-,
29,EW Index,2.14,5.03,-,-,
30,number of European countries in which native,2.17,27,-,-,
31,Stems: 1. woodiness,3.01,non-woody,-,-,
32,Stems: 2. support,3.02,self-supporting,-,-,
33,Height: 3. typical maximum (cm),3.05,60,-,-,
34,Height: 4. typical minimum (cm),3.06,20,-,-,
35,Spread,3.07,height > width,-,-,
36,Heterophylly,3.08,none,-,-,
37,Leaf shape: 1. type,3.09,simple,-,-,
38,Leaf shape: 2. outline,3.10,entire,-,-,
39,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
40,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
41,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
42,Leaf shape: 6. petiole,3.14,sheathing,-,-,
43,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
44,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
45,Leaf area (cm2),3.17,10-100,-,-,
46,Stomata: 1. surfaces present,3.19,lower,-,-,
47,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
48,Root depth: 1. type,3.25,shallow,-,-,
49,Root hairs,3.28,present,-,-,
50,Seedling growth rate - maximum (/d),4.01,0.101,-,-,
51,Photosynthetic pathway,4.02,C3,-,-,
52,Mature leaf N concentration (mg/g),4.03,10-20,-,-,
53,Mature leaf P concentration (mg/g),4.04,1-2,-,-,
54,Heavy metal resistance,4.05,none,-,-,
55,Carnivory,4.06,does not kill insects,-,-,
56,Nutrition,4.07,autotrophic,-,-,
57,Response to drought,4.08,resists,-,-,
58,Response to frost (non-woody tissue),4.09,resistant,-,-,
59,Response to frost (seedlings),4.10,sensitive,-,-,
60,Rgr max,4.12,0.71,�0.14,,
61,rgr,4.13,0.67,�0.12,,
62,Life-form,5.01,helophyte,-,-,
63,Longevity of stems (yrs),5.02,2-10,-,-,
64,Age at first flowering,5.03,1-2 yrs,-,-,
65,Mono/poly-carpic,5.04,polycarpic,-,-,
66,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
67,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,connecting rhizomes break down after 3-4 yrs,-,
68,Flowering time: 1. earliest month,5.07,3,-,-,
69,Flowering time: 2. latest month,5.08,6,-,-,
70,Pollen: 2. diameter (um),5.13,37.2,-,-,
71,Pollen vector,5.15,wind,-,-,
72,Dicliny,5.16,gynodioecious,-,-,
73,Dicliny,5.16,hermaphrodite,-,-,
74,Dichogamy,5.17,protogynous,-,-,
75,Chromosome number(s): 1. number,5.25,58,,-,
76,2C DNA content (pg),5.26,1.2,-,-,
77,2C DNA content (pg),5.26,1.3,2n=58,,
78,Time of seed dispersal (season),5.28,summer,-,-,
79,Seed size - length of longest axis (mm),5.31,2.8,nut with cottony bristles up to 35mm,-,
80,Seed weight: 3. mean (mg),5.34,0.39,,,
81,Seed weight: 3. mean (mg),5.34,0.44,-,-,
82,Seed weight: 3. mean (mg),5.34,0.52,,,
83,Dispersal agent,5.38,wind,-,-,
84,Time of germination (season),5.39,spring,,-,
85,After-ripening requirement,5.40,none,-,-,
86,Maximum temperature at which 50% seeds germinate,5.42,31,-,-,
87,Minimum temperature at which 50% seeds germinate,5.44,16,-,-,
88,Germination requirements 1. chilling,5.45,none,,-,
89,Germination requirements 2. light,5.46,none,-,-,
90,Germination requirements 3. temperature fluctuation,5.47,absolute,,-,
91,Germination type,5.48,epigeal,-,-,
92,Seedbank density: recorded values,5.51,no persistent seedbank recorded,-,-,
93,Normal method of propagation,5.52,vegetative,establishment from seed is very rare,-,
94,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
95,Seedbank type,5.53,short-term persistent,-,-,
96,Seedbank type,5.53,transient,-,-,
97,Maximum seedbank density (m2),5.54,417,-,-,
98,Minimum seedbank density (m2),5.55,417,-,-,
99,Mean seedbank density (m2),5.56,417,-,-,
100,Petal no,5.59,numerous,bristles,,
101,Petal (sepal) size (cm),5.60,4,,bristles,
102,Stigma number,5.61,3,,,
103,Stamen number,5.62,3,,,
104,Sepal number,5.63,0,,,
105,Carpel/Style number,5.64,0,,,
106,Inflorescence type,5.65,spike,,several,
107,Rarity Status,7.02,Present,,,
108,Change Index,7.03,-0.79,,,
109,Biome,7.04,Wide Boreal,,,
110,Eastern Limit,7.05,Circumpolar,,,
111,Continentality,7.06,Not continental,,,
112,Northern Limit in Britain,7.07,No,,,
113,"Northern European Limit (Lat,5C band)",7.08,>65,,,
114,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
115,Southern European Limit,7.10,No,,,
116,January mean temperature,7.11,3.4,,,
117,July mean temperature,7.12,14,,,
118,Annual precipitation,7.13,1194,,,
119,Ellenberg Indicator: Light,7.14,8,,,
120,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
121,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
122,Ellenberg : Moisture,7.15,9,,,
123,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
124,Ellenberg : Moisture,7.15,9=,,Data calculated for Europe,
125,Ellenberg: pH,7.16,4,,,
126,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
127,Ellenberg: pH,7.16,4,,Data calculated for Europe,
128,Ellenberg Indicator: Nitrogen,7.17,1,,,
129,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
130,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
131,Ellenberg Indicator: Salt,7.18,0,,,
132,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
