,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Shade,1.1,none,,,
3,Range: 2. european countries where introduced,2.1,"Por, Ire, UK",,,
4,Range: 3. continents where native,2.11,Australasia,Tasmania,,
5,Stems: 1. woodiness,3.01,woody,,,
6,Stems: 2. support,3.02,self supporting,,,
7,Height: 3. typical maximum (cm),3.05,3000,,,
8,Spread,3.07,ht > width,,,
9,Heterophylly,3.08,developmental,juvenile ( 1-3 yrs) and adult lvs,,
10,Leaf shape: 1. type,3.09,simple,,,
11,Leaf shape: 2. outline,3.1,entire,,,
12,Leaf shape: 3. pointed/round,3.11,acute,adult,,
13,Leaf shape: 3. pointed/round,3.11,acute,,,
14,Leaf shape: 4. length versus breadth,3.12,>3 x as long as broad,,,
15,Leaf shape: 5. leaf base,3.13,cuneate,adult,,
16,Leaf shape: 6. petiole,3.14,petiolate,,,
17,Leaf shape: 7. minimum petiole length (mm),3.15,250,,,
18,Leaf shape: 8. maximum petiole length (mm),3.16,250,,,
19,Leaf area (cm2),3.17,10-100,8-10 x 3-4,,
20,Leaf longevity: 1. type,3.22,evergreen,,,
21,Photosynthetic pathway,4.02,C3,,,
22,Carnivory,4.06,does not kill insects,,,
23,Nutrition,4.07,autotrophic,,,
24,Response to frost (non-woody tissue),4.09,resistant,to -5,,
25,Life-form,5.01,MM,,,
26,Longevity of stems (yrs),5.02,100-500,,,
27,Age at first flowering,5.03,2-5 yrs,,,
28,Mono/poly-carpic,5.04,polycarpic,,,
29,Vegetative reproduction/persistence: 1. method,5.05,seed,,,
30,Flowering time: 1. earliest month,5.07,7,,,
31,Flowering time: 2. latest month,5.08,7,,,
32,Flowering time: 3. peak month,5.09,7,,,
33,Pollen vector,5.15,insect,,,
34,Dicliny,5.16,hermaphrodite,,,
35,Chromosome number(s): 1. number,5.25,22,,,
36,Seed weight: 3. mean (mg),5.34,2.9,,,
37,Seed weight: 3. mean (mg),5.34,3.0,,,
38,Normal method of propagation,5.52,seed,,,
39,Flower colour,5.58,white,stamens,,
40,Petal no,5.59,4,5,,
41,Petal (sepal) size (cm),5.6,0.5,fused and dehiscing,,
42,Stigma number,5.61,1,,,
43,Stamen number,5.62,numerous,,,
44,Carpel/Style number,5.64,1,,,
45,Inflorescence type,5.65,clustered,,"axillary, groups of 3",
46,Inflorescence type,5.65,clustered,,"terminal, loose",
47,Physical defences on leaves,6.02,glabrous,,,
48,Physical defences on stems,6.03,glabrous,,,
49,Physical defences on flowers/fruits,6.04,glabrous,,,
