,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,naturalised,-,-,
5,Range: 3. continents where native,2.11,Europe,-,-,
6,Range: 4. continents where introduced,2.12,North America,,-,
7,SN Index,2.13,3.7,-,-,
8,EW Index,2.14,2.74,-,-,
9,number of European countries in which native,2.17,18,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,80,-,-,
13,Height: 4. typical minimum (cm),3.06,30,-,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
21,Leaf shape: 6. petiole,3.14,sessile,-,-,
22,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
23,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
24,Leaf area (cm2),3.17,0.1-1,-,-,
25,Leaf area (cm2),3.17,1-10,-,-,
26,Root depth: 1. type,3.25,deep,,-,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Response to drought,4.08,resists,,-,
32,Life-form,5.01,hemicryptophyte,-,-,
33,Longevity of stems (yrs),5.02,<1,,-,
34,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,root buds,,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
37,Flowering time: 1. earliest month,5.07,5,-,-,
38,Flowering time: 2. latest month,5.08,7,-,-,
39,Pollen: 2. diameter (um),5.13,43,,-,
40,Pollen vector,5.15,insect,-,-,
41,Dicliny,5.16,dioecious,solely female plants have been found -,-,
42,Dicliny,5.16,monoecious,-,-,
43,Dichogamy,5.17,markedly protogynous,-,-,
44,Fertilization,5.19,cross and self,,-,
45,Fertilization,5.19,normally cross,-,-,
46,Incompatibility systems,5.22,none,,-,
47,Chromosome number(s): 1. number,5.25,60,,-,
48,Chromosome number(s): 1. number,5.25,64,,-,
49,Seed size - length of longest axis (mm),5.31,2.3,seed,-,
50,Seed weight: 1. maximum (mg),5.32,3.02,,-,
51,Seed weight: 1. maximum (mg),5.32,3.5,,-,
52,Seed weight: 2. minimum (mg),5.33,1.82,,-,
53,Seed weight: 2. minimum (mg),5.33,2.5,,-,
54,Seed weight: 3. mean (mg),5.34,3.39,,,
55,Seed weight: 3. mean (mg),5.34,3.5,-,-,
56,Seed production: 1. maximum (/flower),5.35,3,,-,
57,Seed production: 2. typical range (/flower),5.36,1-10,,-,
58,Dispersal agent,5.38,explosive mechanism,,-,
59,Time of germination (season),5.39,spring,,-,
60,Germination requirements 1. chilling,5.45,partial,chilling slightly increases germination,-,
61,Germination requirements 3. temperature fluctuation,5.47,partial,,-,
62,Normal method of propagation,5.52,vegetative,,-,
63,Seedbank type,5.53,long-term persistent,-,-,
64,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
65,Seedbank type,5.53,short-term persistent,-,-,
66,Maximum seedbank density (m2),5.54,15150,-,-,
67,Minimum seedbank density (m2),5.55,15,-,-,
68,Mean seedbank density (m2),5.56,6537,-,-,
69,Flower colour,5.58,green,,,
70,Petal no,5.59,0,,,
71,Stigma number,5.61,3,0,,
72,Stamen number,5.62,1,0,,
73,Sepal number,5.63,0,,,
74,Carpel/Style number,5.64,3,0,,
75,Inflorescence type,5.65,cyme,,compound,
76,Physical defences on leaves,6.02,glabrous,-,-,
77,Physical defences on stems,6.03,glabrous,-,-,
78,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
80,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
81,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
82,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
83,Ellenberg: pH,7.16,8,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,4x,,Data calculated for the Czech Republic,
85,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
86,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
87,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
88,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
89,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
90,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
