,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,native,-,-,
4,Dynamics,2.03,declining,-,-,
5,First historical record: 1. date,2.04,1562,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,1.76,-,-,
8,EW Index,2.14,3.7,-,-,
9,number of European countries in which native,2.17,30,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,30,-,-,
13,Height: 4. typical minimum (cm),3.06,5,-,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,truncate,-,-,
21,Leaf shape: 6. petiole,3.14,sessile,-,-,
22,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
23,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
24,Leaf area (cm2),3.17,0.1-1,-,-,
25,Mean plant dry mass(mg),3.35,9.6,,,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Life-form,5.01,therophyte,-,-,
31,Longevity of stems (yrs),5.02,<1,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,6,-,-,
35,Flowering time: 2. latest month,5.08,10,-,-,
36,Pollen vector,5.15,insect,-,-,
37,Dicliny,5.16,monoecious,-,-,
38,Chromosome number(s): 1. number,5.25,24,-,-,
39,Seed weight: 3. mean (mg),5.34,0.09,,,
40,Seed weight: 3. mean (mg),5.34,0.44,,,
41,Seed weight: 3. mean (mg),5.34,0.51,-,-,
42,Time of germination (season),5.39,spring,-,-,
43,Seedbank longevity,5.5,1-5 yrs,-,-,
44,Normal method of propagation,5.52,seed,-,-,
45,Seedbank type,5.53,long-term persistent,-,-,
46,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
47,Seedbank type,5.53,short-term persistent,-,-,
48,Seedbank type,5.53,transient,-,-,
49,Maximum seedbank density (m2),5.54,8997,-,-,
50,Minimum seedbank density (m2),5.55,9,-,-,
51,Mean seedbank density (m2),5.56,432,-,-,
52,Flower colour,5.58,green,,,
53,Petal no,5.59,0,,,
54,Stigma number,5.61,3,0,,
55,Stamen number,5.62,1,0,,
56,Sepal number,5.63,0,,,
57,Carpel/Style number,5.64,3,0,,
58,Inflorescence type,5.65,cyme,,compound,
59,Physical defences on leaves,6.02,glabrous,-,-,
60,Physical defences on stems,6.03,glabrous,-,-,
61,Change Index,7.03,-1.18,,,
62,Biome,7.04,Southern Temperate,,,
63,Eastern Limit,7.05,European,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,No,,,
66,Southern European Limit,7.1,No Data,,,
67,January mean temperature,7.11,3.9,,,
68,July mean temperature,7.12,16,,,
69,Annual precipitation,7.13,783,,,
70,Ellenberg Indicator: Light,7.14,6,,,
71,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
72,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
73,Ellenberg : Moisture,7.15,4,,,
74,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
75,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
76,Ellenberg: pH,7.16,7,,,
77,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
78,Ellenberg: pH,7.16,8,,Data calculated for Europe,
79,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
80,Ellenberg Indicator: Nitrogen,7.17,5,,,
81,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
82,Ellenberg Indicator: Salt,7.18,0,,,
83,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
84,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
85,Life Form: normal state,7.19,Therophyte,,,
86,Clonality: normal state,7.21,Little or no vegetative spread,,,
87,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
88,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
89,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
