,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Salinity,1.05,brackish,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,First historical record: 1. date,2.04,1666,-,-,
7,First historical record: 2. site,2.05,Cornwall,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,.53,-,-,
10,EW Index,2.14,5.04,-,-,
11,number of European countries in which native,2.17,18,-,-,
12,Stems: 1. woodiness,3.01,non-woody,-,-,
13,Stems: 2. support,3.02,procumbent,-,-,
14,Height: 3. typical maximum (cm),3.05,10,-,-,
15,Spread,3.07,height = width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,entire,-,-,
19,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
20,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
21,Leaf shape: 5. leaf base,3.13,truncate,-,-,
22,Leaf shape: 6. petiole,3.14,petiolate,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,1,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,3,-,-,
25,Leaf area (cm2),3.17,0.1-1,-,-,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Life-form,5.01,therophyte,-,-,
31,Longevity of stems (yrs),5.02,<1,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,7,-,-,
35,Flowering time: 2. latest month,5.08,9,-,-,
36,Pollen vector,5.15,insect,-,-,
37,Dicliny,5.16,monoecious,-,-,
38,Appendages on dispersal unit,5.27,mucilage,-,-,
39,Seed size - length of longest axis (mm),5.31,3.0,seed,-,
40,Seed weight: 3. mean (mg),5.34,2.8402,,,
41,Normal method of propagation,5.52,seed,-,-,
42,Seedbank type,5.53,transient,-,-,
43,Flower colour,5.58,green,,,
44,Petal no,5.59,0,,,
45,Stigma number,5.61,3,0,,
46,Stamen number,5.62,1,0,,
47,Sepal number,5.63,0,,,
48,Carpel/Style number,5.64,3,0,,
49,Inflorescence type,5.65,cyme,,compound,
50,Conservation Status,7.01,Extinct in the Wild,,,
51,Rarity Status,7.02,Apparently Extinct,,,
52,Change Index,7.03,-1.49,,,
53,Biome,7.04,Mediterranean-Atlantic,,,
54,Eastern Limit,7.05,Oceanic,,,
55,Continentality,7.06,Not continental,,,
56,Northern Limit in Britain,7.07,Yes,,,
57,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
58,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
59,Southern European Limit,7.1,No,,,
60,January mean temperature,7.11,5.8,,,
61,July mean temperature,7.12,16,,,
62,Annual precipitation,7.13,969,,,
63,Ellenberg Indicator: Light,7.14,9,,,
64,Ellenberg : Moisture,7.15,4,,,
65,Ellenberg: pH,7.16,7,,,
66,Ellenberg Indicator: Nitrogen,7.17,5,,,
67,Ellenberg Indicator: Salt,7.18,3,,,
68,Life Form: normal state,7.19,Therophyte,,,
69,Clonality: normal state,7.21,Little or no vegetative spread,,,
