,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,native,-,-,
5,First historical record: 1. date,2.04,1842,-,-,
6,First historical record: 2. site,2.05,Tintern,-,-,
7,Range: 3. continents where native,2.11,Asia,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,1.23,-,-,
10,EW Index,2.14,6.16,-,-,
11,number of European countries in which native,2.17,20,-,-,
12,Stems: 1. woodiness,3.01,non-woody,-,-,
13,Stems: 2. support,3.02,self-supporting,-,-,
14,Height: 3. typical maximum (cm),3.05,80,-,-,
15,Height: 4. typical minimum (cm),3.06,15,-,-,
16,Spread,3.07,height > width,-,-,
17,Heterophylly,3.08,none,-,-,
18,Leaf shape: 1. type,3.09,simple,-,-,
19,Leaf shape: 2. outline,3.1,toothed,-,-,
20,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
21,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,cordate,-,-,
23,Leaf shape: 6. petiole,3.14,sessile,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
26,Leaf area (cm2),3.17,1-10,-,-,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,therophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
34,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
35,Flowering time: 1. earliest month,5.07,6,-,-,
36,Flowering time: 2. latest month,5.08,9,-,-,
37,Pollen vector,5.15,insect,-,-,
38,Dicliny,5.16,monoecious,-,-,
39,Chromosome number(s): 1. number,5.25,28,,-,
40,Seed size - length of longest axis (mm),5.31,1.5,seed,-,
41,Seed weight: 3. mean (mg),5.34,0.63,,,
42,Normal method of propagation,5.52,seed,-,-,
43,Flower colour,5.58,green,,,
44,Petal no,5.59,0,,,
45,Stigma number,5.61,3,0,,
46,Stamen number,5.62,1,0,,
47,Sepal number,5.63,0,,,
48,Carpel/Style number,5.64,3,0,,
49,Inflorescence type,5.65,cyme,,compound,
50,Physical defences on leaves,6.02,glabrous,-,-,
51,Physical defences on stems,6.03,glabrous,-,-,
52,Conservation Status,7.01,Vulnerable,,,
53,Rarity Status,7.02,Rare,,,
54,Change Index,7.03,1.20,,,
55,Biome,7.04,Southern Temperate,,,
56,Eastern Limit,7.05,European,,,
57,Continentality,7.06,Not continental,,,
58,Northern Limit in Britain,7.07,No,,,
59,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
60,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
61,Southern European Limit,7.1,No,,,
62,January mean temperature,7.11,4.1,,,
63,July mean temperature,7.12,16,,,
64,Annual precipitation,7.13,812,,,
65,Ellenberg Indicator: Light,7.14,5,,,
66,Ellenberg Indicator: Light,7.14,5,,Data calculated for Europe,
67,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
68,Ellenberg : Moisture,7.15,6,,,
69,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
70,Ellenberg : Moisture,7.15,6,,Data calculated for Europe,
71,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
72,Ellenberg: pH,7.16,8,,,
73,Ellenberg: pH,7.16,8,,Data calculated for Europe,
74,Ellenberg Indicator: Nitrogen,7.17,5,,,
75,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
77,Ellenberg Indicator: Salt,7.18,0,,,
78,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
80,Life Form: normal state,7.19,Therophyte,,,
81,Clonality: normal state,7.21,Little or no vegetative spread,,,
82,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
83,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
84,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
