,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,native,-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,SN Index,2.13,6.59,-,-,
6,EW Index,2.14,5.12,-,-,
7,number of European countries in which native,2.17,18,-,-,
8,Stems: 1. woodiness,3.01,non-woody,-,-,
9,Stems: 2. support,3.02,self-supporting,-,-,
10,Height: 3. typical maximum (cm),3.05,25,-,-,
11,Spread,3.07,height = width,-,-,
12,Heterophylly,3.08,none,-,-,
13,Leaf shape: 1. type,3.09,simple,-,-,
14,Leaf shape: 2. outline,3.1,toothed,-,-,
15,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
16,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
17,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
18,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
19,Leaf shape: 5. leaf base,3.13,rounded,-,-,
20,Leaf shape: 5. leaf base,3.13,truncate,-,-,
21,Leaf shape: 6. petiole,3.14,sessile,-,-,
22,Leaf shape: 6. petiole,3.14,subsessile,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,1,-,-,
25,Leaf area (cm2),3.17,0.1-1,-,-,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,hemi-parasitic,-,-,
30,Life-form,5.01,therophyte,-,-,
31,Longevity of stems (yrs),5.02,<1,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,7,-,-,
35,Flowering time: 2. latest month,5.08,9,-,-,
36,Pollen viability,5.14,high,-,-,
37,Dicliny,5.16,hermaphrodite,-,-,
38,Dichogamy,5.17,homogamous,-,-,
39,Fertilization,5.19,normally self,-,-,
40,Chromosome number(s): 1. number,5.25,44,-,-,
41,Normal method of propagation,5.52,seed,-,-,
42,Seedbank type,5.53,short-term persistent,-,-,
43,Flower colour,5.58,white,"purple, blue, yellow",,
44,Petal no,5.59,5,,"fused, bilabiate",
45,Petal (sepal) size (cm),5.6,0.55,0.45-0.65,,
46,Stigma number,5.61,1,,,
47,Stamen number,5.62,4,,,
48,Sepal number,5.63,4,,fused,
49,Carpel/Style number,5.64,1,,,
50,Inflorescence type,5.65,spike,,"terminal, lfy",
51,Physical defences on leaves,6.02,glabrous,-,-,
52,Physical defences on leaves,6.02,stiff hairs,on leaf margins and veins of lower epidermis,-,
53,Physical defences on stems,6.03,stiff hairs,-,-,
54,Rarity Status,7.02,Present,,,
55,Biome,7.04,Temperate,,,
56,Eastern Limit,7.05,European,,,
57,Continentality,7.06,Not continental,,,
58,Northern Limit in Britain,7.07,No,,,
59,"Northern European Limit (Lat,5C band)",7.08,>65,,,
60,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
61,Southern European Limit,7.1,No,,,
62,January mean temperature,7.11,3,,,
63,July mean temperature,7.12,13,,,
64,Annual precipitation,7.13,1400,,,
65,Ellenberg Indicator: Light,7.14,7,,,
66,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
67,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
68,Ellenberg : Moisture,7.15,5,,,
69,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
70,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
71,Ellenberg: pH,7.16,2,,,
72,Ellenberg: pH,7.16,2,,Data calculated for the Czech Republic,
73,Ellenberg: pH,7.16,2,,Data calculated for Europe,
74,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for the Czech Republic,
75,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
76,Ellenberg Indicator: Nitrogen,7.17,2,,,
77,Ellenberg Indicator: Salt,7.18,0,,,
78,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
80,Life Form: normal state,7.19,Therophyte,,,
81,Clonality: normal state,7.21,Little or no vegetative spread,,,
82,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
83,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
84,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
