,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,native,-,-,
5,Range: 3. continents where native,2.11,Europe,-,-,
6,Range: 3. continents where native,2.11,North America,-,-,
7,SN Index,2.13,2.43,-,-,
8,EW Index,2.14,4.63,-,-,
9,number of European countries in which native,2.17,16,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 1. extreme maximum (cm),3.03,40,-,-,
13,Height: 3. typical maximum (cm),3.05,35,-,-,
14,Spread,3.07,height = width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,toothed,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
20,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
21,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
22,Leaf shape: 5. leaf base,3.13,rounded,-,-,
23,Leaf shape: 5. leaf base,3.13,truncate,-,-,
24,Leaf shape: 6. petiole,3.14,sessile,-,-,
25,Leaf shape: 6. petiole,3.14,subsessile,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,1,-,-,
28,Leaf area (cm2),3.17,0.1-1,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,hemi-parasitic,-,-,
33,Life-form,5.01,therophyte,-,-,
34,Longevity of stems (yrs),5.02,<1,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
37,Flowering time: 1. earliest month,5.07,7,-,-,
38,Flowering time: 2. latest month,5.08,9,-,-,
39,Dicliny,5.16,hermaphrodite,-,-,
40,Fertilization,5.19,normally self,-,-,
41,Chromosome number(s): 1. number,5.25,44,-,-,
42,Seed weight: 3. mean (mg),5.34,0.16,,,
43,Time of germination (season),5.39,spring,-,-,
44,Germination requirements 1. chilling,5.45,absolute,-,-,
45,Normal method of propagation,5.52,seed,-,-,
46,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
47,Seedbank type,5.53,short-term persistent,-,-,
48,Maximum seedbank density (m2),5.54,28,-,-,
49,Minimum seedbank density (m2),5.55,28,-,-,
50,Mean seedbank density (m2),5.56,28,-,-,
51,Flower colour,5.58,white,"purple, blue, yellow",,
52,Petal no,5.59,5,,"fused, bilabiate",
53,Petal (sepal) size (cm),5.6,0.675,0.5-0.75(-0.8),,
54,Stigma number,5.61,1,,,
55,Stamen number,5.62,4,,,
56,Sepal number,5.63,4,,fused,
57,Carpel/Style number,5.64,1,,,
58,Inflorescence type,5.65,spike,,"terminal, lfy",
59,Physical defences on leaves,6.02,glabrous,may be hairs on margins and veins of lower epidermis,-,
60,Physical defences on stems,6.03,stiff hairs,-,-,
61,Rarity Status,7.02,Present,,,
62,Biome,7.04,Temperate,,,
63,Eastern Limit,7.05,European,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,No,,,
66,"Northern European Limit (Lat,5C band)",7.08,>65,,,
67,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
68,Southern European Limit,7.1,No,,,
69,January mean temperature,7.11,3.6,,,
70,July mean temperature,7.12,15,,,
71,Annual precipitation,7.13,1037,,,
72,Ellenberg Indicator: Light,7.14,7,,,
73,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
74,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
75,Ellenberg : Moisture,7.15,5,,,
76,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
77,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
78,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
79,Ellenberg: pH,7.16,4,,Data calculated for Europe,
80,Ellenberg: pH,7.16,6,,,
81,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
82,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Nitrogen,7.17,4,,,
84,Ellenberg Indicator: Salt,7.18,0,,,
85,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
87,Life Form: normal state,7.19,Therophyte,,,
88,Clonality: normal state,7.21,Little or no vegetative spread,,,
89,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
90,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
91,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
