,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 1. water table,1.02,,moist,,
2,Soil moisture: 2. drainage,1.03,free-draining,,,
3,Shade,1.1,none,,,
4,Shade,1.1,some,particularly variegated plants,,
5,Range: 2. european countries where introduced,2.1,"Be, Uk, It.",,,
6,Range: 3. continents where native,2.11,eEst Asia,Japan,,
7,Range: 4. continents where introduced,2.12,"Europe, Australasa, N. America",,,
8,number of European countries in which native,2.17,0,,,
9,Stems: 1. woodiness,3.01,woody,,,
10,Stems: 2. support,3.02,self-supporting,,,
11,Height: 3. typical maximum (cm),3.05,500,,,
12,Height: 4. typical minimum (cm),3.06,300,,,
13,Spread,3.07,ht < width,,,
14,Heterophylly,3.08,none,,,
15,Leaf shape: 1. type,3.09,simple,,,
16,Leaf shape: 2. outline,3.1,lobed,crenate dentate,,
17,Leaf shape: 3. pointed/round,3.11,acuminate,,,
18,Leaf shape: 5. leaf base,3.13,cordate,,,
19,Leaf shape: 6. petiole,3.14,petiolate,,,
20,Leaf shape: 7. minimum petiole length (mm),3.15,100,,,
21,Leaf shape: 8. maximum petiole length (mm),3.16,300,,,
22,Leaf longevity: 1. type,3.22,evergreen,,,
23,Photosynthetic pathway,4.02,C3,,,
24,Carnivory,4.06,does not kill insects,,,
25,Nutrition,4.07,autotrophic,,,
26,Life-form,5.01,MM,,,
27,Mono/poly-carpic,5.04,poycarpic,,,
28,Flowering time: 1. earliest month,5.07,10,,,
29,Flowering time: 2. latest month,5.08,11,,,
30,Flowering time: 3. peak month,5.09,10,,,
31,Pollen vector,5.15,insects,bees,,
32,Dicliny,5.16,andromonoecious,,,
33,Chromosome number(s): 1. number,5.25,24,,,
34,Chromosome number(s): 1. number,5.25,48,,,
35,Time of seed dispersal (season),5.28,spring,,,
36,Seed weight: 3. mean (mg),5.34,7.1,,,
37,Seed weight: 3. mean (mg),5.34,71,,,
38,Flower colour,5.58,yellow green,,,
39,Petal no,5.59,5,,,
40,Stigma number,5.61,5,,,
41,Stamen number,5.62,5,,,
42,Carpel/Style number,5.64,5,,,
43,Inflorescence type,5.65,umbel,,panicle of umbels,
44,Physical defences on leaves,6.02,glabrous,when mature,,
45,Physical defences on leaves,6.02,tomantose,when young,,
46,Physical defences on stems,6.03,glabrous,when mature,,
47,Physical defences on stems,6.03,tomentose,when young,,
48,Physical defences on flowers/fruits,6.04,glabrous,when mature,,
49,Physical defences on flowers/fruits,6.04,tomentose,when young,,
50,Physical defences on buds,6.05,glabrous,when mature,,
51,Physical defences on buds,6.05,tomentose,when young,,
