,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,mid,-,-,
4,Altitude: 1. maximum recorded (m),1.12,300,-,-,
5,Altitude: 1. maximum recorded (m),1.12,304,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1800,-,-,
9,First historical record: 2. site,2.05,Ben Lawers,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,5.24,-,-,
13,EW Index,2.14,4.46,-,-,
14,British distribution (post 1949 records),2.15,148,-,-,
15,number of European countries in which native,2.17,22,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,200,-,-,
19,Height: 4. typical minimum (cm),3.06,50,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 2. outline,3.1,entire,,,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
28,Leaf shape: 6. petiole,3.14,sheathing,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
30,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
31,Leaf area (cm2),3.17,10-100,-,-,
32,Stomata: 1. surfaces present,3.19,upper,-,-,
33,Stomata: 2. density on lower surface(no/mm2),3.2,0,-,-,
34,Stomata: 3. density on upper surface (no/mm2),3.21,200,-,-,
35,Root system,3.24,fibrous,,,
36,Ligule,3.33,0.5,,"membranous, torn",
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Life-form,5.01,hemicryptophyte,-,-,
42,Longevity of stems (yrs),5.02,<1,-,-,
43,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
44,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
45,Flowering time: 1. earliest month,5.07,6,-,-,
46,Flowering time: 2. latest month,5.08,7,-,-,
47,Pollen vector,5.15,wind,-,-,
48,Chromosome number(s): 1. number,5.25,14,,-,
49,Chromosome number(s): 1. number,5.25,42,-,-,
50,2C DNA content (pg),5.26,5.79,2n=14,-,
51,2C DNA content (pg),5.26,6.8,2n=14,-,
52,2C DNA content (pg),5.26,8.94,2n=14,,
53,Seed weight: 3. mean (mg),5.34,1.08,-,-,
54,Flower colour,5.58,green,"brown, purple, white",,
55,Petal no,5.59,0,,,
56,Petal (sepal) size (cm),5.6,0,,,
57,Stigma number,5.61,2,,,
58,Stamen number,5.62,3,,,
59,Sepal number,5.63,0,,,
60,Carpel/Style number,5.64,2,,,
61,Inflorescence type,5.65,panicle,,,
62,"Glume, upper",5.66,0.35,0.3-0.4,narrowly oblong,
63,Glume lower,5.67,0.25,0.2-0.3,lanceolate,
64,Palea,5.68,0.5,0.4-0.6,,
65,Lemma,5.69,0.5,0.4-0.6,"lanceolate, pointed, 3 nerved",
66,Physical defences on leaves,6.02,glabrous,-,-,
67,Rarity Status,7.02,Present,,,
68,Change Index,7.03,0.83,,,
69,Biome,7.04,Temperate,,,
70,Eastern Limit,7.05,European,,,
71,Continentality,7.06,Not continental,,,
72,Northern Limit in Britain,7.07,No,,,
73,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
74,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
75,Southern European Limit,7.1,No,,,
76,January mean temperature,7.11,2.6,,,
77,July mean temperature,7.12,14,,,
78,Annual precipitation,7.13,1410,,,
79,Ellenberg Indicator: Light,7.14,3,,,
80,Ellenberg Indicator: Light,7.14,3,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Light,7.14,3,,Data calculated for Europe,
82,Ellenberg : Moisture,7.15,5,,,
83,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
84,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
85,Ellenberg: pH,7.16,4,,,
86,Ellenberg: pH,7.16,4,,Data calculated for Europe,
87,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
88,Ellenberg Indicator: Nitrogen,7.17,5,,,
89,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
91,Ellenberg Indicator: Salt,7.18,0,,,
92,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
94,Life Form: normal state,7.19,Hemicryptophyte,,,
95,Clonality: normal state,7.21,Tussock forming graminoid,,,
96,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
97,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
98,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
