,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Soil pH: 1. extreme maximum,1.06,7.3,-,-,
2,Soil pH: 2. extreme minimum,1.07,4.5,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,2.02,-,-,
8,EW Index,2.14,1.21,-,-,
9,number of European countries in which native,2.17,2,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 1. extreme maximum (cm),3.03,45,-,-,
13,Height: 3. typical maximum (cm),3.05,35,-,-,
14,Height: 4. typical minimum (cm),3.06,18,-,-,
15,Spread,3.07,height = width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,entire,-,-,
19,Leaf shape: 2. outline,3.1,entire,,,
20,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
21,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
23,Leaf shape: 6. petiole,3.14,sheathing,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
26,Leaf area (cm2),3.17,0.1-1,-,-,
27,Stomata: 1. surfaces present,3.19,upper,-,-,
28,Stomata: 3. density on upper surface (no/mm2),3.21,240,-,-,
29,Root system,3.24,fibrous,-,-,
30,Root depth: 1. type,3.25,shallow,-,-,
31,Root depth: 2. depth (cm),3.26,10-50,10 - 20,-,
32,Ligule,3.33,minute,,,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Mature leaf N concentration (mg/g),4.03,<5,-,-,
35,Mature leaf P concentration (mg/g),4.04,2-3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Response to drought,4.08,resists,-,-,
40,Life-form,5.01,hemicryptophyte,-,-,
41,Longevity of stems (yrs),5.02,<1,-,-,
42,Mono/poly-carpic,5.04,polycarpic,-,-,
43,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
44,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
45,Flowering time: 1. earliest month,5.07,5,-,-,
46,Flowering time: 1. earliest month,5.07,6,-,-,
47,Flowering time: 2. latest month,5.08,7,-,-,
48,Flowering time: 3. peak month,5.09,6,-,-,
49,Pollen vector,5.15,wind,-,-,
50,Fertilization,5.19,normally cross,-,-,
51,Chromosome number(s): 1. number,5.25,14,-,-,
52,2C DNA content (pg),5.26,12.70,2n=42,,
53,Time of seed dispersal (season),5.28,summer,-,-,
54,Seed size - length of longest axis (mm),5.31,3,-,-,
55,Seed weight: 3. mean (mg),5.34,0.6,,,
56,Seed weight: 3. mean (mg),5.34,0.8,-,-,
57,Seed production: 2. typical range (/flower),5.36,1,-,-,
58,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
59,Dispersal agent,5.38,unspecialised,-,-,
60,Flower colour,5.58,green,"brown, purple, white",,
61,Petal no,5.59,0,,,
62,Petal (sepal) size (cm),5.6,0,,,
63,Stigma number,5.61,2,,,
64,Stamen number,5.62,3,,,
65,Sepal number,5.63,0,,,
66,Carpel/Style number,5.64,2,,,
67,Inflorescence type,5.65,panicle,,,
68,"Glume, upper",5.66,0.475,0.35-0.5,"oblong-lanceolate, 3 nerved",
69,Glume lower,5.67,0.3,0.25-0.35,"lanceolate, 1-nerved",
70,Palea,5.68,0.475,0.4-0.55,,
71,Lemma,5.69,0.475,0.4-0.55,"awned, 0.4 , 5-nerved",
72,Response to vertebrate grazing,6.01,increases,-,-,
73,Physical defences on leaves,6.02,glabrous,-,-,
74,Conservation Status,7.01,Vulnerable,,,
75,Rarity Status,7.02,Rare,,,
76,Biome,7.04,Temperate,,,
77,Eastern Limit,7.05,Oceanic,,,
78,Continentality,7.06,Not continental,,,
79,Northern Limit in Britain,7.07,Yes,,,
80,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
81,"Southern European Limit (Latitude, 5C band)",7.09,45-50,,,
82,Southern European Limit,7.1,No,,,
83,January mean temperature,7.11,4.8,,,
84,July mean temperature,7.12,16,,,
85,Annual precipitation,7.13,751,,,
86,Ellenberg Indicator: Light,7.14,8,,,
87,Ellenberg : Moisture,7.15,3,,,
88,Ellenberg: pH,7.16,5,,,
89,Ellenberg Indicator: Nitrogen,7.17,2,,,
90,Ellenberg Indicator: Salt,7.18,0,,,
91,Life Form: normal state,7.19,Hemicryptophyte,,,
92,Clonality: normal state,7.21,Tussock forming graminoid,,,
