,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Status,2.01,naturalised,-,-,
2,Typical abundance where naturally occurring,2.02,scattered,-,-,
3,Range: 3. continents where native,2.11,Europe,-,-,
4,SN Index,2.13,1.3,-,-,
5,EW Index,2.14,5.4,-,-,
6,number of European countries in which native,2.17,15,-,-,
7,Stems: 1. woodiness,3.01,non-woody,-,-,
8,Stems: 2. support,3.02,self-supporting,-,-,
9,Height: 3. typical maximum (cm),3.05,120,-,-,
10,Height: 4. typical minimum (cm),3.06,15,-,-,
11,Spread,3.07,height = width,-,-,
12,Heterophylly,3.08,none,-,-,
13,Leaf shape: 1. type,3.09,simple,-,-,
14,Leaf shape: 2. outline,3.1,entire,-,-,
15,Leaf shape: 2. outline,3.1,entire,,,
16,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
17,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
18,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
19,Leaf shape: 6. petiole,3.14,sheathing,-,-,
20,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
21,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
22,Root system,3.24,fibrous,,,
23,Ligule,3.33,0.6,0.5-0.7,truncate,
24,Photosynthetic pathway,4.02,C3,-,-,
25,Heavy metal resistance,4.05,none,-,-,
26,Carnivory,4.06,does not kill insects,-,-,
27,Nutrition,4.07,autotrophic,-,-,
28,Life-form,5.01,hemicryptophyte,-,-,
29,Life-form,5.01,therophyte,-,-,
30,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
31,Flowering time: 1. earliest month,5.07,5,-,-,
32,Flowering time: 2. latest month,5.08,7,-,-,
33,Pollen vector,5.15,wind,-,-,
34,Chromosome number(s): 1. number,5.25,14 + 0-2B,,-,
35,Seed weight: 3. mean (mg),5.34,1.28,,,
36,Flower colour,5.58,green,"brown, purple, white",,
37,Petal no,5.59,0,,,
38,Petal (sepal) size (cm),5.6,0,,,
39,Stigma number,5.61,2,,,
40,Stamen number,5.62,3,,,
41,Sepal number,5.63,0,,,
42,Carpel/Style number,5.64,2,,,
43,Inflorescence type,5.65,raceme,,,
44,"Glume, upper",5.66,0.75,0.5-1,"oblong, acute, 3 nerved",
45,Glume lower,5.67,0.41,0.32-0.5,"lanceolate, acute, 3-veined",
46,Palea,5.68,0.55,0.35-0.75,,
47,Lemma,5.69,0.6,0.4-0.8,"lanceolate, 7-9 veined, awn dorsal, geniculate 1-1.5",
48,Physical defences on leaves,6.02,glabrous,-,-,
49,Rarity Status,7.02,Scarce,,,
50,Biome,7.04,Mediterranean-Atlantic,,,
51,Eastern Limit,7.05,Suboceanic,,,
52,Continentality,7.06,Not continental,,,
53,Northern Limit in Britain,7.07,Yes,,,
54,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
55,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
56,Southern European Limit,7.1,No,,,
57,January mean temperature,7.11,4.5,,,
58,July mean temperature,7.12,16,,,
59,Annual precipitation,7.13,865,,,
60,Ellenberg Indicator: Light,7.14,8,,,
61,Ellenberg : Moisture,7.15,5,,,
62,Ellenberg: pH,7.16,6,,,
63,Ellenberg Indicator: Nitrogen,7.17,6,,,
64,Ellenberg Indicator: Salt,7.18,0,,,
65,Life Form: normal state,7.19,Therophyte,,,
66,Clonality: normal state,7.21,Little or no vegetative spread,,,
