,Name,Number,Value,Modifier,Notes,Subspecies
0,Waterlogging tolerance,1.021,1.77,,,
1,Waterlogging tolerance,1.021,2.5,,,
2,Shade tolerance,1.101,1.2,�0,,
3,Shade tolerance,1.101,3,,,
4,Status,2.01,naturalised,-,-,
5,Dynamics,2.03,increasing,-,-,
6,Range: 3. continents where native,2.11,North America,-,-,
7,Range: 4. continents where introduced,2.12,Europe,-,-,
8,SN Index,2.13,2.92,-,-,
9,EW Index,2.14,4.07,-,-,
10,Stems: 1. woodiness,3.01,woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,100,-,-,
13,Spread,3.07,height = width,-,-,
14,Heterophylly,3.08,none,-,-,
15,Leaf shape: 1. type,3.09,simple,-,-,
16,Leaf shape: 2. outline,3.1,entire,-,-,
17,Leaf shape: 2. outline,3.1,toothed,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
21,Leaf shape: 6. petiole,3.14,petiolate,-,-,
22,Leaf area (cm2),3.17,10-100,-,-,
23,Leaf longevity: 1. type,3.22,evergreen,-,-,
24,Photosynthetic pathway,4.02,C3,-,-,
25,Heavy metal resistance,4.05,none,-,-,
26,Carnivory,4.06,does not kill insects,-,-,
27,Nutrition,4.07,autotrophic,-,-,
28,Drought Tolerance,4.081,2,,,
29,Drought Tolerance,4.081,3.46,�0.42,,
30,Life-form,5.01,phanerophyte,-,-,
31,Mono/poly-carpic,5.04,polycarpic,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
33,Flowering time: 1. earliest month,5.07,5,-,-,
34,Flowering time: 2. latest month,5.08,6,-,-,
35,Pollen vector,5.15,insect,-,-,
36,Dicliny,5.16,hermaphrodite,-,-,
37,Chromosome number(s): 1. number,5.25,88,,-,
38,Seed weight: 3. mean (mg),5.34,0.15,,,
39,Flower colour,5.58,white,pink,,
40,Petal no,5.59,5,,,
41,Petal (sepal) size (cm),5.6,1,,,
42,Stigma number,5.61,1,,,
43,Stamen number,5.62,10,,,
44,Sepal number,5.63,5,,,
45,Carpel/Style number,5.64,1,,,
46,Inflorescence type,5.65,raceme,,"terminal, sub-terminal",
47,Physical defences on leaves,6.02,glabrous,-,-,
48,Physical defences on stems,6.03,glandular hairs,when young,-,
49,Biome,7.04,Mediterranean,,,
50,Eastern Limit,7.05,Hyperoceanic,,,
51,Continentality,7.06,Not continental,,,
52,Northern Limit in Britain,7.07,No,,,
53,Southern European Limit,7.1,No Data,,,
54,January mean temperature,7.11,3.6,,,
55,July mean temperature,7.12,15,,,
56,Annual precipitation,7.13,1077,,,
57,Ellenberg Indicator: Light,7.14,3,,,
58,Ellenberg : Moisture,7.15,4,,,
59,Ellenberg: pH,7.16,4,,,
60,Ellenberg Indicator: Nitrogen,7.17,3,,,
61,Ellenberg Indicator: Salt,7.18,0,,,
62,Life Form: normal state,7.19,Nanophanerophyte,,,
63,Clonality: normal state,7.21,Rhizome far creeping,,,
