,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Waterlogging tolerance,1.021,1.77,,,
3,Soil moisture: 2. drainage,1.03,free-draining,-,-,
4,Shade,1.1,none,-,-,
5,Shade tolerance,1.101,1.2,�0,,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,Dynamics,2.03,declining,-,-,
9,First historical record: 1. date,2.04,1570,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,2.32,-,-,
14,EW Index,2.14,4.32,-,-,
15,number of European countries in which native,2.17,22,-,-,
16,Stems: 1. woodiness,3.01,woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,200,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height = width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
28,Leaf shape: 6. petiole,3.14,subsessile,-,-,
29,Leaf area (cm2),3.17,1-10,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Drought Tolerance,4.081,3.88,�0,,
35,Life-form,5.01,phanerophyte,-,-,
36,Mono/poly-carpic,5.04,polycarpic,-,-,
37,Flowering time: 1. earliest month,5.07,7,-,-,
38,Flowering time: 2. latest month,5.08,9,-,-,
39,Pollen vector,5.15,insect,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Dichogamy,5.17,homogamous,-,-,
42,Fertilization,5.19,cross and self,-,-,
43,Incompatibility systems,5.22,none,-,-,
44,Chromosome number(s): 1. number,5.25,48,,-,
45,2C DNA content (pg),5.26,3.34,2n=96,,
46,Time of seed dispersal (season),5.28,autumn,-,-,
47,Dispersule size - length of longest axis (mm),5.3,1.8,seed,-,
48,Seed size - length of longest axis (mm),5.31,1.8,seed,-,
49,Seed weight: 3. mean (mg),5.34,3.6,-,-,
50,Seed weight: 3. mean (mg),5.34,5.2,,,
51,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
52,Time of germination (season),5.39,autumn,,-,
53,Germination requirements 2. light,5.46,partial,,-,
54,Seedbank type,5.53,transient,-,-,
55,Flower colour,5.58,yellow,,,
56,Petal no,5.59,5,2 fused,,
57,Petal (sepal) size (cm),5.6,1.25,1-1.5,standard,
58,Stigma number,5.61,1,,,
59,Stamen number,5.62,5,all fused,,
60,Sepal number,5.63,5,,,
61,Carpel/Style number,5.64,1,,,
62,Inflorescence type,5.65,raceme,lateral cluster,terminal,
63,Inflorescence type,5.65,solitary,,axillary,
64,Physical defences on leaves,6.02,glabrous,-,-,
65,Physical defences on leaves,6.02,hairy,leaf margins,-,
66,Physical defences on stems,6.03,hairy,sparse,-,
67,Physical defences on flowers/fruits,6.04,glabrous,pods,-,
68,Rarity Status,7.02,Present,,,
69,Change Index,7.03,-0.77,,,
70,Biome,7.04,Temperate,,,
71,Eastern Limit,7.05,European,,,
72,Continentality,7.06,Not continental,,,
73,Northern Limit in Britain,7.07,No,,,
74,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
75,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
76,Southern European Limit,7.1,No,,,
77,January mean temperature,7.11,3.6,,,
78,July mean temperature,7.12,16,,,
79,Annual precipitation,7.13,880,,,
80,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Light,7.14,8,,,
82,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
83,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
84,Ellenberg : Moisture,7.15,6,,,
85,Ellenberg : Moisture,7.15,6~,,Data calculated for Europe,
86,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
87,Ellenberg: pH,7.16,6,,Data calculated for Europe,
88,Ellenberg: pH,7.16,7,,,
89,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
90,Ellenberg Indicator: Nitrogen,7.17,2,,,
91,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
92,Ellenberg Indicator: Salt,7.18,0,,,
93,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
94,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
95,Life Form: normal state,7.19,Chamaephyte,,,
96,Life Form: less frequent state,7.2,Nanophanerophyte,,,
97,Clonality: normal state,7.21,Little or no vegetative spread,,,
98,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
