,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,274,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1666,-,-,
9,First historical record: 2. site,2.05,Hampshire,-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,1.73,-,-,
14,EW Index,2.14,5.71,-,-,
15,number of European countries in which native,2.17,30,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,60,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height < width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
26,Leaf shape: 5. leaf base,3.13,cordate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf area (cm2),3.17,1-10,-,-,
29,Leaf longevity: 1. type,3.22,hibernal,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,therophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Mono/poly-carpic,5.04,monocarpic,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
39,Flowering time: 1. earliest month,5.07,6,-,-,
40,Flowering time: 2. latest month,5.08,7,-,-,
41,Dicliny,5.16,gynodioecious,,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Fertilization,5.19,normally self,-,-,
44,Incompatibility systems,5.22,none,-,-,
45,Chromosome number(s): 1. number,5.25,18,-,-,
46,Seed weight: 1. maximum (mg),5.32,10,-,-,
47,Seed weight: 2. minimum (mg),5.33,3,-,-,
48,Seed weight: 3. mean (mg),5.34,3.959,,,
49,Seed weight: 3. mean (mg),5.34,5.7,-,-,
50,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
51,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
52,Dispersal agent,5.38,explosive mechanism,-,-,
53,Normal method of propagation,5.52,seed,-,-,
54,Flower colour,5.58,red-pink,,,
55,Petal no,5.59,5,,,
56,Petal (sepal) size (cm),5.6,0.85,0.7-1,,
57,Stigma number,5.61,5,,,
58,Stamen number,5.62,10,,,
59,Sepal number,5.63,5,,,
60,Carpel/Style number,5.64,1,,,
61,Inflorescence type,5.65,cyme,umbellate,"terminal, axillary",
62,Physical defences on leaves,6.02,hairy,-,-,
63,Physical defences on stems,6.03,hairy,-,-,
64,Physical defences on flowers/fruits,6.04,hairy,sepals,-,
65,Rarity Status,7.02,Present,,,
66,Change Index,7.03,-0.34,,,
67,Biome,7.04,Temperate,,,
68,Eastern Limit,7.05,European,,,
69,Continentality,7.06,Not continental,,,
70,Northern Limit in Britain,7.07,No,,,
71,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
72,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
73,Southern European Limit,7.1,No,,,
74,January mean temperature,7.11,4,,,
75,July mean temperature,7.12,16,,,
76,Annual precipitation,7.13,921,,,
77,Ellenberg Indicator: Light,7.14,7,,,
78,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
80,Ellenberg : Moisture,7.15,4,,,
81,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
82,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
83,Ellenberg: pH,7.16,7,,,
84,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
85,Ellenberg: pH,7.16,7,,Data calculated for Europe,
86,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Nitrogen,7.17,7,,,
88,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
89,Ellenberg Indicator: Salt,7.18,0,,,
90,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
91,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
92,Life Form: normal state,7.19,Therophyte,,,
93,Clonality: normal state,7.21,Little or no vegetative spread,,,
94,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
95,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
96,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
