,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,Typical abundance where naturally occurring,2.02,frequent,-,-,
2,Range: 3. continents where native,2.11,Europe,-,-,
3,number of European countries in which native,2.17,2,-,-,
4,Stems: 1. woodiness,3.01,non-woody,-,-,
5,Stems: 2. support,3.02,self-supporting,-,-,
6,Height: 3. typical maximum (cm),3.05,80,-,-,
7,Height: 4. typical minimum (cm),3.06,30,-,-,
8,Leaf area (cm2),3.17,10-100,-,-,
9,Photosynthetic pathway,4.02,C3,-,-,
10,Heavy metal resistance,4.05,none,-,-,
11,Carnivory,4.06,does not kill insects,-,-,
12,Nutrition,4.07,autotrophic,-,-,
13,Life-form,5.01,hemicryptophyte,-,-,
14,Longevity of stems (yrs),5.02,<1,-,-,
15,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
16,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
17,Flowering time: 1. earliest month,5.07,6,-,-,
18,Flowering time: 2. latest month,5.08,7,-,-,
19,Dicliny,5.16,hermaphrodite,-,-,
20,Chromosome number(s): 1. number,5.25,28,,-,
21,Seedbank type,5.53,long-term persistent,-,-,
22,Maximum seedbank density (m2),5.54,3100,-,-,
23,Minimum seedbank density (m2),5.55,3100,-,-,
24,Mean seedbank density (m2),5.56,3100,-,-,
25,Flower colour,5.58,pink,,,
26,Petal no,5.59,5,,,
27,Petal (sepal) size (cm),5.6,1.9,1.6-2.2,,
28,Stigma number,5.61,5,,,
29,Stamen number,5.62,10,,,
30,Sepal number,5.63,5,,,
31,Carpel/Style number,5.64,1,,,
32,Inflorescence type,5.65,cyme,umbellate,"terminal, axillary",
33,Change Index,7.03,2.07,,,
34,Biome,7.04,Mediterranean,,,
35,Eastern Limit,7.05,Hyperoceanic,,,
36,Continentality,7.06,Not continental,,,
37,Northern Limit in Britain,7.07,No,,,
38,Southern European Limit,7.1,No Data,,,
39,January mean temperature,7.11,3.5,,,
40,July mean temperature,7.12,15,,,
41,Annual precipitation,7.13,991,,,
42,Ellenberg Indicator: Light,7.14,6,,,
43,Ellenberg : Moisture,7.15,5,,,
44,Ellenberg: pH,7.16,7,,,
45,Ellenberg Indicator: Nitrogen,7.17,6,,,
46,Ellenberg Indicator: Salt,7.18,0,,,
47,Life Form: normal state,7.19,Hemicryptophyte,,,
48,Clonality: normal state,7.21,Rhizome far creeping,,,
