,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,light,-,-,
3,Altitude: 1. maximum recorded (m),1.12,760,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,frequent,-,-,
8,First historical record: 1. date,2.04,1633,-,-,
9,First historical record: 2. site,2.05,"Guildford, Surrey",-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,SN Index,2.13,2.76,-,-,
14,EW Index,2.14,5.17,-,-,
15,number of European countries in which native,2.17,28,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,40,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height < width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
26,Leaf shape: 5. leaf base,3.13,cordate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf area (cm2),3.17,1-10,-,-,
29,Stomata: 1. surfaces present,3.19,both,,,
30,Stomata: 2. density on lower surface(no/mm2),3.2,225.9,,,
31,Stomata: 3. density on upper surface (no/mm2),3.21,47.55,,,
32,Leaf longevity: 1. type,3.22,hibernal,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Life-form,5.01,therophyte,-,-,
38,Longevity of stems (yrs),5.02,<1,-,-,
39,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
40,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
41,Flowering time: 1. earliest month,5.07,5,-,-,
42,Flowering time: 2. latest month,5.08,8,-,-,
43,Pollen vector,5.15,insect,-,-,
44,Dicliny,5.16,gynomonoecious,,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Dichogamy,5.17,protogynous,-,-,
47,Fertilization,5.19,cross and self,-,-,
48,Incompatibility systems,5.22,none,-,-,
49,Chromosome number(s): 1. number,5.25,20,-,-,
50,Chromosome number(s): 1. number,5.25,32,,-,
51,Chromosome number(s): 1. number,5.25,40,-,-,
52,Seed weight: 3. mean (mg),5.34,0.68,,,
53,Seed weight: 3. mean (mg),5.34,1.5,-,-,
54,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
55,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
56,Dispersal agent,5.38,explosive mechanism,-,-,
57,Normal method of propagation,5.52,seed,-,-,
58,Flower colour,5.58,pink,,,
59,Petal no,5.59,5,,,
60,Petal (sepal) size (cm),5.6,0.9,0.8-1,,
61,Stigma number,5.61,5,,,
62,Stamen number,5.62,10,,,
63,Sepal number,5.63,5,,,
64,Carpel/Style number,5.64,1,,,
65,Inflorescence type,5.65,cyme,umbellate,"terminal, axillary",
66,Physical defences on leaves,6.02,glabrous,almost,-,
67,Physical defences on leaves,6.02,hairy,sparsely distributed,-,
68,Physical defences on stems,6.03,glabrous,-,-,
69,Rarity Status,7.02,Present,,,
70,Change Index,7.03,1.42,,,
71,Biome,7.04,Mediterranean-Atlantic,,,
72,Eastern Limit,7.05,Suboceanic,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
76,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
77,Southern European Limit,7.1,No,,,
78,January mean temperature,7.11,3.6,,,
79,July mean temperature,7.12,15,,,
80,Annual precipitation,7.13,991,,,
81,Ellenberg Indicator: Light,7.14,4,,Data calculated for the Czech Republic,
82,Ellenberg Indicator: Light,7.14,5,,Data calculated for Europe,
83,Ellenberg Indicator: Light,7.14,6,,,
84,Ellenberg : Moisture,7.15,4,,,
85,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
86,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
87,Ellenberg: pH,7.16,7,,,
88,Ellenberg: pH,7.16,7,,Data calculated for Europe,
89,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Nitrogen,7.17,6,,,
91,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
92,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
93,Ellenberg Indicator: Salt,7.18,0,,,
94,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
96,Life Form: normal state,7.19,Therophyte,,,
97,Clonality: normal state,7.21,Little or no vegetative spread,,,
98,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
