,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,mid,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,First historical record: 1. date,2.04,1597,-,-,
7,First historical record: 2. site,2.05,"Cherry Hinton, Cambridgeshire",-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,1.98,-,-,
10,EW Index,2.14,4.44,-,-,
11,British distribution (post 1949 records),2.15,69,-,-,
12,number of European countries in which native,2.17,10,-,-,
13,Stems: 1. woodiness,3.01,non-woody,-,-,
14,Stems: 2. support,3.02,self-supporting,-,-,
15,Height: 3. typical maximum (cm),3.05,80,-,-,
16,Height: 4. typical minimum (cm),3.06,20,-,-,
17,Spread,3.07,height > width,-,-,
18,Heterophylly,3.08,developmental,-,-,
19,Leaf shape: 1. type,3.09,compound,-,-,
20,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
21,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
22,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
23,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
24,Leaf shape: 6. petiole,3.14,petiolate,-,-,
25,Leaf shape: 6. petiole,3.14,sessile,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Stomata: 1. surfaces present,3.19,lower,-,-,
28,Stomata: 2. density on lower surface(no/mm2),3.2,65,-,-,
29,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
30,Leaf longevity: 1. type,3.22,evergreen,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,chamaephyte,-,-,
36,Longevity of stems (yrs),5.02,2-10,-,-,
37,Flowering time: 1. earliest month,5.07,3,-,-,
38,Flowering time: 2. latest month,5.08,4,-,-,
39,Pollen: 2. diameter (um),5.13,40,-,-,
40,Pollen vector,5.15,insect,-,-,
41,Dicliny,5.16,hermaphrodite,-,-,
42,Dichogamy,5.17,protogynous,-,-,
43,Fertilization,5.19,obligatory cross,-,-,
44,Incompatibility systems,5.22,"present, mechanism unknown",-,-,
45,Chromosome number(s): 1. number,5.25,32,,-,
46,2C DNA content (pg),5.26,23.30,2n=32,,
47,Appendages on dispersal unit,5.27,elaiosome,-,-,
48,Seed weight: 3. mean (mg),5.34,12.812,,,
49,Seed weight: 3. mean (mg),5.34,8.8,-,-,
50,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
51,Dispersal agent,5.38,ants,-,-,
52,Dispersal agent,5.38,ants,-,-,
53,Time of germination (season),5.39,spring,-,-,
54,After-ripening requirement,5.4,none,-,-,
55,Normal method of propagation,5.52,seed,-,-,
56,Seedbank type,5.53,transient,-,-,
57,Flower colour,5.58,green,purple,,
58,Petal no,5.59,5,,nectaries,
59,Petal (sepal) size (cm),5.6,1,0.5-1.5,,
60,Stigma number,5.61,3,2-5,,
61,Stamen number,5.62,numerous,,,
62,Sepal number,5.63,5,,petaloid,
63,Carpel/Style number,5.64,3,2-5,,
64,Inflorescence type,5.65,cyme,,1-many fld.,
65,Physical defences on stems,6.03,glabrous,-,-,
66,Physical defences on stems,6.03,glandular,-,-,
67,Rarity Status,7.02,Scarce,,,
68,Change Index,7.03,0.86,,,
69,Biome,7.04,Southern Temperate,,,
70,Eastern Limit,7.05,Suboceanic,,,
71,Continentality,7.06,Not continental,,,
72,Northern Limit in Britain,7.07,Yes,,,
73,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
74,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
75,Southern European Limit,7.1,No,,,
76,January mean temperature,7.11,3.7,,,
77,July mean temperature,7.12,16,,,
78,Annual precipitation,7.13,806,,,
79,Ellenberg Indicator: Light,7.14,5,,,
80,Ellenberg Indicator: Light,7.14,5,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Light,7.14,5,,Data calculated for Europe,
82,Ellenberg : Moisture,7.15,4,,,
83,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
84,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
85,Ellenberg: pH,7.16,8,,,
86,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
87,Ellenberg: pH,7.16,8,,Data calculated for Europe,
88,Ellenberg Indicator: Nitrogen,7.17,3,,,
89,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
91,Ellenberg Indicator: Salt,7.18,0,,,
92,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
94,Life Form: normal state,7.19,Chamaephyte,,,
95,Clonality: normal state,7.21,Little or no vegetative spread,,,
96,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
97,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
98,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
