,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,native,-,-,
1,Range: 3. continents where native,2.11,Europe,-,-,
2,number of European countries in which native,2.17,17,-,-,
3,Stems: 1. woodiness,3.01,non-woody,-,-,
4,Stems: 2. support,3.02,self-supporting,-,-,
5,Spread,3.07,height > width,-,-,
6,Heterophylly,3.08,none,-,-,
7,Leaf shape: 1. type,3.09,simple,-,-,
8,Photosynthetic pathway,4.02,C3,-,-,
9,Heavy metal resistance,4.05,none,-,-,
10,Carnivory,4.06,does not kill insects,-,-,
11,Nutrition,4.07,autotrophic,-,-,
12,Life-form,5.01,hemicryptophyte,-,-,
13,Longevity of stems (yrs),5.02,<1,-,-,
14,Pollen vector,5.15,none,-,-,
15,Seed weight: 3. mean (mg),5.34,0.4252,,,
16,Flower colour,5.58,yellow,,,
17,Petal no,5.59,5,many,flowers mistaken for petals,
18,Petal (sepal) size (cm),5.6,,,ligulate,
19,Stigma number,5.61,2,,,
20,Stamen number,5.62,5,,fused into a tube,
21,Sepal number,5.63,0,many,sepaloid phyllaries,
22,Carpel/Style number,5.64,1,,,
23,Inflorescence type,5.65,capitulum,,"terminal, corymbose panicle",
24,Physical defences on leaves,6.02,glabrous,-,-,
25,Physical defences on stems,6.03,hairy,-,-,
26,Physical defences on flowers/fruits,6.04,glandular,flower,-,
