,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,native,-,-,
4,Typical abundance where naturally occurring,2.02,scattered,-,-,
5,First historical record: 1. date,2.04,1775,-,-,
6,First historical record: 2. site,2.05,Norwich,-,-,
7,Range: 3. continents where native,2.11,Africa,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,number of European countries in which native,2.17,26,-,-,
11,Stems: 1. woodiness,3.01,non-woody,-,-,
12,Stems: 2. support,3.02,self-supporting,-,-,
13,Height: 3. typical maximum (cm),3.05,20,-,-,
14,Height: 4. typical minimum (cm),3.06,3,-,-,
15,Spread,3.07,height = width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,entire,-,-,
19,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
20,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
21,Leaf shape: 5. leaf base,3.13,truncate,-,-,
22,Leaf shape: 6. petiole,3.14,petiolate,-,-,
23,Leaf shape: 6. petiole,3.14,sessile,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Leaf area (cm2),3.17,0.1-1,-,-,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Life-form,5.01,therophyte,-,-,
31,Longevity of stems (yrs),5.02,<1,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,4,-,-,
35,Flowering time: 2. latest month,5.08,5,-,-,
36,Pollen: 2. diameter (um),5.13,37,-,-,
37,Pollen vector,5.15,insect,-,-,
38,Dicliny,5.16,gynodioecious,,-,
39,Dicliny,5.16,hermaphrodite,-,-,
40,Dichogamy,5.17,homogamous,-,-,
41,Fertilization,5.19,cross or automatic self,-,-,
42,Cleistogamy,5.2,pseudo-cleistogamous,if deficient light,-,
43,Incompatibility systems,5.22,none,-,-,
44,Chromosome number(s): 1. number,5.25,20,,-,
45,Dispersule size - length of longest axis (mm),5.3,0.5,seed,-,
46,Seed size - length of longest axis (mm),5.31,0.5,seed,-,
47,Seed weight: 3. mean (mg),5.34,0.17,,,
48,After-ripening requirement,5.4,absolute,,-,
49,Normal method of propagation,5.52,seed,-,-,
50,Flower colour,5.58,white,,,
51,Petal no,5.59,5,,,
52,Petal (sepal) size (cm),5.6,0.3,,toothed,
53,Stigma number,5.61,3,,,
54,Stamen number,5.62,3,5,,
55,Sepal number,5.63,5,,,
56,Carpel/Style number,5.64,3,,fused,
57,Inflorescence type,5.65,umbellate cyme,,"irregular, terminal",
58,Physical defences on leaves,6.02,glabrous,-,-,
59,Physical defences on leaves,6.02,glandular hairs,-,-,
60,Physical defences on stems,6.03,glabrous,-,-,
61,Physical defences on stems,6.03,glandular hairs,-,-,
62,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
63,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
64,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
65,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
66,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
67,Ellenberg: pH,7.16,,,Data calculated for Europe,
68,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
69,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
70,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
71,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
72,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
73,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
74,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
