,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,non woody,,,
1,Heterophylly,3.08,none,,,
2,Leaf shape: 1. type,3.09,simple,,,
3,Leaf shape: 3. pointed/round,3.11,pointed,,,
4,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
5,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
6,Leaf shape: 6. petiole,3.14,sheathing,,,
7,Root system,3.24,fibrous,,,
8,Ligule,3.33,0.1,,truncate,
9,2C DNA content (pg),5.26,10.80,2n=14,,
10,2C DNA content (pg),5.26,21.55,2n=28,,
11,Flower colour,5.58,green,"brown, purple, white",,
12,Petal no,5.59,0,,,
13,Petal (sepal) size (cm),5.6,0,,,
14,Stigma number,5.61,2,0,,
15,Stamen number,5.62,3,0,,
16,Sepal number,5.63,0,,,
17,Carpel/Style number,5.64,2,0,,
18,"Glume, upper",5.66,1.7,1-2.4,"subulate, awn apical. Subulate in lateral spikelets",
19,Glume lower,5.67,1.7,1-2.4,"subulate, awn apical. Subulate in lateral spikelets",
20,Palea,5.68,0.7,,narrow,
21,Lemma,5.69,0.7,0.6-0.8,"narrowly ovate, acute, 5 veined, awn apical, 2.4",
