,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,native,-,-,
1,Typical abundance where naturally occurring,2.02,dominant,-,-,
2,Stems: 1. woodiness,3.01,non-woody,-,-,
3,Stems: 2. support,3.02,creeping,-,-,
4,Height: 1. extreme maximum (cm),3.03,12,-,-,
5,Height: 2. extreme minimum (cm),3.04,2.5,-,-,
6,Height: 3. typical maximum (cm),3.05,8,-,-,
7,Spread,3.07,height = width,-,-,
8,Heterophylly,3.08,none,-,-,
9,Leaf shape: 1. type,3.09,compound,-,-,
10,Leaf shape: 2. outline,3.1,serrulate,-,-,
11,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
12,Leaf shape: 6. petiole,3.14,petiolate,-,-,
13,Leaf shape: 7. minimum petiole length (mm),3.15,0.5,-,-,
14,Leaf shape: 8. maximum petiole length (mm),3.16,6,-,-,
15,Leaf longevity: 1. type,3.22,evergreen,-,-,
16,Leaf longevity: 2. number of months,3.23,>24,-,-,
17,Root system,3.24,adventitious,-,-,
18,Nutrition,4.07,autotrophic,-,-,
19,Life-form,5.01,chamaephyte,-,-,
20,Mono/poly-carpic,5.04,polycarpic,-,-,
21,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
22,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
23,Flowering time: 1. earliest month,5.07,6,-,-,
24,Flowering time: 2. latest month,5.08,7,-,-,
25,Chromosome number(s): 1. number,5.25,36,-,-,
26,Physical defences on leaves,6.02,glabrous,-,-,
27,Physical defences on stems,6.03,glabrous,-,-,
28,Rarity Status,7.02,Present,,,
29,Change Index,7.03,-0.87,,,
30,Biome,7.04,Boreo-Temperate,,,
31,Eastern Limit,7.05,Hyperoceanic,,,
32,Continentality,7.06,Not continental,,,
33,Northern Limit in Britain,7.07,No,,,
34,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
35,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
36,Southern European Limit,7.1,No,,,
37,January mean temperature,7.11,3.1,,,
38,July mean temperature,7.12,13,,,
39,Annual precipitation,7.13,1685,,,
40,Ellenberg Indicator: Light,7.14,5,,,
41,Ellenberg : Moisture,7.15,5,,,
42,Ellenberg: pH,7.16,3,,,
43,Ellenberg Indicator: Nitrogen,7.17,3,,,
44,Ellenberg Indicator: Salt,7.18,0,,,
45,Life Form: normal state,7.19,Hemicryptophyte,,,
46,Clonality: normal state,7.21,Rhizome shortly creeping,,,
