,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 1. water table,1.02,permanently low,-,-,
3,Soil moisture: 2. drainage,1.03,free-draining,-,-,
4,Soil moisture: 3. supply,1.04,intermittent,-,-,
5,Soil pH: 1. extreme maximum,1.06,8.2,-,-,
6,Soil pH: 2. extreme minimum,1.07,6.4,-,-,
7,Soil pH: 3. typical maximum,1.08,7.6,-,-,
8,Soil pH: 4. typical minimum,1.09,7.0,-,-,
9,Shade,1.1,none,-,-,
10,Exposure,1.11,indifferent,-,-,
11,Altitude: 1. maximum recorded (m),1.12,113,-,-,
12,Altitude: 2. minimum recorded (m),1.13,6,-,-,
13,Altitude: 4. typical minimum (m),1.14,50,-,-,
14,Status,2.01,native,-,-,
15,Typical abundance where naturally occurring,2.02,scattered,-,-,
16,Dynamics,2.03,declining,-,-,
17,First historical record: 1. date,2.04,1663,-,-,
18,First historical record: 2. site,2.05,"Gogmagog Hills, Cambs.",-,-,
19,Range: 3. continents where native,2.11,Europe,-,-,
20,SN Index,2.13,2.29,-,-,
21,EW Index,2.14,4.26,-,-,
22,number of European countries in which native,2.17,22,-,-,
23,Medicinal Use,2.18,skin ailments,,,
24,Stems: 1. woodiness,3.01,non-woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 1. extreme maximum (cm),3.03,72,-,-,
27,Height: 2. extreme minimum (cm),3.04,4,-,-,
28,Height: 3. typical maximum (cm),3.05,60,-,-,
29,Height: 4. typical minimum (cm),3.06,20,-,-,
30,Spread,3.07,height = width,-,-,
31,Heterophylly,3.08,none,-,-,
32,Leaf shape: 1. type,3.09,simple,-,-,
33,Leaf shape: 2. outline,3.1,toothed,-,-,
34,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
35,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
36,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
37,Leaf shape: 6. petiole,3.14,petiolate,-,-,
38,Leaf area (cm2),3.17,10-100,-,-,
39,Leaf lamina thickness: 1. range,3.18,0.5-1.0,-,-,
40,Stomata: 1. surfaces present,3.19,both,-,-,
41,Stomata: 2. density on lower surface(no/mm2),3.2,204,-,-,
42,Stomata: 3. density on upper surface (no/mm2),3.21,158,-,-,
