,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,deep,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,mid,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1562,-,-,
9,First historical record: 2. site,2.05,Dorset,-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 3. continents where native,2.11,Macaronesia,-,-,
13,SN Index,2.13,1.07,-,-,
14,EW Index,2.14,5.57,-,-,
15,number of European countries in which native,2.17,9,-,-,
16,Medicinal Use,2.18,cramp,,,
17,Medicinal Use,2.18,dropsy,,,
18,Medicinal Use,2.18,purgative,,,
19,Medicinal Use,2.18,sore throat,,,
20,Medicinal Use,2.18,wounds,,,
21,Stems: 1. woodiness,3.01,non-woody,-,-,
22,Stems: 2. support,3.02,self-supporting,-,-,
23,Height: 3. typical maximum (cm),3.05,90,-,-,
24,Height: 4. typical minimum (cm),3.06,30,-,-,
25,Spread,3.07,height > width,-,-,
26,Heterophylly,3.08,none,-,-,
27,Leaf shape: 1. type,3.09,simple,-,-,
28,Leaf shape: 2. outline,3.1,entire,-,-,
29,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
30,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
31,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
32,Leaf shape: 6. petiole,3.14,sessile,-,-,
33,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
34,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
35,Leaf area (cm2),3.17,10-100,-,-,
36,Stomata: 1. surfaces present,3.19,both,-,-,
37,Stomata: 2. density on lower surface(no/mm2),3.2,78,range 38-99,-,
38,Leaf longevity: 1. type,3.22,evergreen,-,-,
39,Photosynthetic pathway,4.02,C3,-,-,
40,Heavy metal resistance,4.05,none,-,-,
41,Carnivory,4.06,does not kill insects,-,-,
42,Nutrition,4.07,autotrophic,-,-,
43,Life-form,5.01,chamaephyte,-,-,
44,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
45,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
46,Flowering time: 1. earliest month,5.07,5,-,-,
47,Flowering time: 2. latest month,5.08,7,-,-,
48,Pollen vector,5.15,insect,-,-,
49,Dicliny,5.16,hermaphrodite,-,-,
50,Chromosome number(s): 1. number,5.25,40,,-,
51,2C DNA content (pg),5.26,14.46,,,
52,Time of seed dispersal (season),5.28,autumn,,-,
53,Dispersule size - length of longest axis (mm),5.3,5.0,seed and aril,-,
54,Seed weight: 3. mean (mg),5.34,48,-,-,
55,Seed weight: 3. mean (mg),5.34,79.41,,,
56,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
57,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
58,Dispersal agent,5.38,eaten by birds,,-,
59,Time of germination (season),5.39,summer,early,-,
60,Normal method of propagation,5.52,seed and vegetative,-,-,
61,Seedbank type,5.53,long-term persistent,-,-,
62,Seedbank type,5.53,transient,-,-,
63,Maximum seedbank density (m2),5.54,80,-,-,
64,Minimum seedbank density (m2),5.55,80,-,-,
65,Mean seedbank density (m2),5.56,80,-,-,
66,Flower colour,5.58,purple,yellow,,
67,Petal no,5.59,6,,tepals,
68,Petal (sepal) size (cm),5.6,4,,,
69,Stigma number,5.61,3,,,
70,Stamen number,5.62,3,,,
71,Sepal number,5.63,0,,tepals,
72,Carpel/Style number,5.64,3,,,
73,Inflorescence type,5.65,cyme,,terminal,
74,Physical defences on leaves,6.02,glabrous,-,-,
75,Physical defences on stems,6.03,glabrous,-,-,
76,Rarity Status,7.02,Present,,,
77,Change Index,7.03,1.47,,,
78,Biome,7.04,Southern Temperate,,,
79,Eastern Limit,7.05,Suboceanic,,,
80,Continentality,7.06,Not continental,,,
81,Northern Limit in Britain,7.07,Yes,,,
82,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
83,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
84,Southern European Limit,7.1,No,,,
85,January mean temperature,7.11,4.2,,,
86,July mean temperature,7.12,16,,,
87,Annual precipitation,7.13,821,,,
88,Ellenberg Indicator: Light,7.14,5,,,
89,Ellenberg : Moisture,7.15,4,,,
90,Ellenberg: pH,7.16,8,,,
91,Ellenberg Indicator: Nitrogen,7.17,5,,,
92,Ellenberg Indicator: Salt,7.18,0,,,
93,Life Form: normal state,7.19,Hemicryptophyte,,,
94,Clonality: normal state,7.21,Rhizome shortly creeping,,,
