,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,Range: 3. continents where native,2.11,North America,-,-,
2,Range: 4. continents where introduced,2.12,Europe,-,-,
3,Stems: 1. woodiness,3.01,non-woody,-,-,
4,Stems: 2. support,3.02,self-supporting,-,-,
5,Height: 3. typical maximum (cm),3.05,100,-,-,
6,Height: 4. typical minimum (cm),3.06,50,-,-,
7,Photosynthetic pathway,4.02,C3,-,-,
8,Heavy metal resistance,4.05,none,-,-,
9,Carnivory,4.06,does not kill insects,-,-,
10,Nutrition,4.07,autotrophic,-,-,
11,Life-form,5.01,helophyte,-,-,
12,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
13,Flowering time: 1. earliest month,5.07,6,-,-,
14,Flowering time: 2. latest month,5.08,7,-,-,
15,Dicliny,5.16,hermaphrodite,-,-,
16,Chromosome number(s): 1. number,5.25,105,-,-,
17,Chromosome number(s): 1. number,5.25,72,-,-,
18,Chromosome number(s): 1. number,5.25,84,-,-,
19,Seed weight: 3. mean (mg),5.34,141.3,,-,
20,Seed weight: 3. mean (mg),5.34,15.02,,,
21,Seed weight: 3. mean (mg),5.34,15.9,,,
22,Normal method of propagation,5.52,seed and vegetative,-,-,
23,Flower colour,5.58,purple,"violet, yellow, white",,
24,Petal no,5.59,6,,tepals,
25,Petal (sepal) size (cm),5.6,3.5,3-4,tepals,
26,Stigma number,5.61,3,,,
27,Stamen number,5.62,3,,,
28,Sepal number,5.63,0,,tepals,
29,Carpel/Style number,5.64,3,,,
30,Inflorescence type,5.65,cyme,,terminal,
