,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,none,-,-,
2,Status,2.01,native,-,-,
3,First historical record: 1. date,2.04,1597,-,-,
4,First historical record: 2. site,2.05,Ely,-,-,
5,Range: 3. continents where native,2.11,Asia,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,1.55,-,-,
8,EW Index,2.14,3.24,-,-,
9,number of European countries in which native,2.17,27,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,120,-,-,
13,Height: 4. typical minimum (cm),3.06,50,-,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,developmental,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,toothed,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
21,Leaf shape: 5. leaf base,3.13,sagittate,-,-,
22,Leaf shape: 6. petiole,3.14,clasping,-,-,
23,Leaf shape: 6. petiole,3.14,petiolate,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Photosynthetic pathway,4.02,C3,-,-,
26,Heavy metal resistance,4.05,none,-,-,
27,Carnivory,4.06,does not kill insects,-,-,
28,Nutrition,4.07,autotrophic,-,-,
29,Life-form,5.01,hemicryptophyte,-,-,
30,Longevity of stems (yrs),5.02,<1,-,-,
31,Flowering time: 1. earliest month,5.07,7,-,-,
32,Flowering time: 2. latest month,5.08,8,-,-,
33,Pollen vector,5.15,insect,-,-,
34,Dicliny,5.16,hermaphrodite,-,-,
35,Dichogamy,5.17,homogamous,-,-,
36,Chromosome number(s): 1. number,5.25,28,,-,
37,2C DNA content (pg),5.26,1.16,2n=28,,
38,Dispersule size - length of longest axis (mm),5.3,3.0,seed,-,
39,Seed size - length of longest axis (mm),5.31,3.0,seed,-,
40,Seed weight: 3. mean (mg),5.34,1.3,,,
41,Seed weight: 3. mean (mg),5.34,3,,,
42,Flower colour,5.58,yellow,,,
43,Petal no,5.59,4,,,
44,Petal (sepal) size (cm),5.6,0.2,,,
45,Stigma number,5.61,2,capitate,,
46,Stamen number,5.62,6,,,
47,Sepal number,5.63,4,,,
48,Carpel/Style number,5.64,1,,,
49,Inflorescence type,5.65,raceme,,,
50,Physical defences on leaves,6.02,glabrous,stem leaves,-,
51,Physical defences on leaves,6.02,soft hairs,basal leaves,-,
52,Physical defences on stems,6.03,glabrous,above,-,
53,Physical defences on stems,6.03,soft hairs,below,-,
54,Physical defences on flowers/fruits,6.04,glabrous,fruit,-,
55,Change Index,7.03,1.08,,,
56,Biome,7.04,Mediterranean,,,
57,Eastern Limit,7.05,Hyperoceanic,,,
58,Continentality,7.06,Not continental,,,
59,Northern Limit in Britain,7.07,No,,,
60,Southern European Limit,7.1,No Data,,,
61,January mean temperature,7.11,3.8,,,
62,July mean temperature,7.12,16,,,
63,Annual precipitation,7.13,733,,,
64,Ellenberg Indicator: Light,7.14,8,,,
65,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
66,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
67,Ellenberg : Moisture,7.15,3,,,
68,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
69,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
70,Ellenberg: pH,7.16,8,,,
71,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
72,Ellenberg: pH,7.16,8,,Data calculated for Europe,
73,Ellenberg Indicator: Nitrogen,7.17,3,,,
74,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
75,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
76,Ellenberg Indicator: Salt,7.18,0,,,
77,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
79,Life Form: normal state,7.19,Hemicryptophyte,,,
80,Clonality: normal state,7.21,Little or no vegetative spread,,,
81,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
82,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
83,Ellenberg: Continetality,7.24,7,,Data calculated for Europe,
