,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Salinity,1.05,brackish,-,-,
3,Soil pH: 1. extreme maximum,1.06,7.56,-,-,
4,Water pH: 1. extreme maximum,1.06A,7.48,-,-,
5,Soil pH: 2. extreme minimum,1.07,3.98,-,-,
6,Water pH: 2. extreme minimum,1.07A,3.71,-,-,
7,Soil pH: 3. typical maximum,1.08,6.97,-,-,
8,Water pH: 3. typical maximum,1.08A,6.93,-,-,
9,Soil pH: 4. typical minimum,1.09,5.21,-,-,
10,Water pH: 4. typical minimum,1.09A,5.29,-,-,
11,Shade,1.10,none,-,-,
12,Altitude: 1. maximum recorded (m),1.12,792,-,-,
13,Altitude: 2. minimum recorded (m),1.13,0,-,-,
14,Altitude: 4. typical minimum (m),1.14,0,-,-,
15,Status,2.01,native,-,-,
16,Typical abundance where naturally occurring,2.02,frequent,-,-,
17,Dynamics,2.03,declining,probably,-,
18,First historical record: 1. date,2.04,1660,-,-,
19,First historical record: 2. site,2.05,Cambridgeshire,-,-,
20,Range: 3. continents where native,2.11,Africa,-,-,
21,Range: 3. continents where native,2.11,Asia,-,-,
22,Range: 3. continents where native,2.11,Europe,-,-,
23,Range: 3. continents where native,2.11,North America,-,-,
24,Range: 4. continents where introduced,2.12,Africa,-,-,
25,Range: 4. continents where introduced,2.12,Australasia,-,-,
26,SN Index,2.13,4,-,-,
27,EW Index,2.14,4.59,-,-,
28,number of European countries in which native,2.17,33,-,-,
29,Stems: 1. woodiness,3.01,non-woody,-,-,
30,Stems: 2. support,3.02,self-supporting,-,-,
31,Height: 3. typical maximum (cm),3.05,80,-,-,
32,Height: 4. typical minimum (cm),3.06,2,prostrate forms,-,
33,Spread,3.07,height > width,-,-,
34,Heterophylly,3.08,none,-,-,
35,Leaf shape: 1. type,3.09,simple,-,-,
36,Leaf shape: 2. outline,3.10,entire,-,-,
37,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
38,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
39,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
40,Leaf shape: 6. petiole,3.14,sheathing,-,-,
41,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
42,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
43,Leaf area (cm2),3.17,1-10,-,-,
