,Name,Number,Value,Modifier,Notes,Subspecies
0,Salinity,1.05,saline,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 2. minimum recorded (m),1.13,0,-,-,
3,Altitude: 4. typical minimum (m),1.14,0,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,dominant,-,-,
6,First historical record: 1. date,2.04,1632,-,-,
7,First historical record: 2. site,2.05,"Margate, Kent",-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Australasia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 3. continents where native,2.11,North America,-,-,
13,Range: 3. continents where native,2.11,South America,-,-,
14,SN Index,2.13,3.05,-,-,
15,EW Index,2.14,5.62,-,-,
16,number of European countries in which native,2.17,26,-,-,
17,Stems: 1. woodiness,3.01,non-woody,-,-,
18,Stems: 2. support,3.02,self-supporting,-,-,
19,Height: 3. typical maximum (cm),3.05,100,-,-,
20,Height: 4. typical minimum (cm),3.06,30,-,-,
21,Spread,3.07,height > width,-,-,
22,Heterophylly,3.08,none,-,-,
23,Leaf shape: 1. type,3.09,simple,-,-,
24,Leaf shape: 2. outline,3.1,entire,-,-,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
28,Leaf shape: 6. petiole,3.14,sessile,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
30,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
31,Leaf lamina thickness: 1. range,3.18,>2.0,-,-,
32,Stomata: 1. surfaces present,3.19,lower,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Life-form,5.01,geophyte,-,-,
38,Longevity of stems (yrs),5.02,<1,-,-,
39,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
40,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
41,Flowering time: 1. earliest month,5.07,7,-,-,
42,Flowering time: 2. latest month,5.08,8,-,-,
43,Pollen vector,5.15,wind,-,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Dichogamy,5.17,protogynous,-,-,
46,Incompatibility systems,5.22,none,-,-,
47,Chromosome number(s): 1. number,5.25,48,,-,
48,Seed weight: 3. mean (mg),5.34,0.0306,,,
49,Germination requirements 2. light,5.46,absolute,-,-,
50,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
51,Seedbank type,5.53,short-term persistent,-,-,
52,Maximum seedbank density (m2),5.54,404,-,-,
53,Minimum seedbank density (m2),5.55,152,-,-,
54,Mean seedbank density (m2),5.56,289,-,-,
55,Flower colour,5.58,straw,,,
56,Petal no,5.59,6,,tepals,
57,Petal (sepal) size (cm),5.6,0.375,0.3-0.45,,
58,Stigma number,5.61,3,,,
59,Stamen number,5.62,6,3,,
60,Sepal number,5.63,0,,tepals,
61,Carpel/Style number,5.64,0,1,,
62,Inflorescence type,5.65,cyme,,"terminal, often appearing lateral",
63,Physical defences on leaves,6.02,glabrous,-,-,
64,Physical defences on stems,6.03,glabrous,-,-,
65,Rarity Status,7.02,Present,,,
66,Change Index,7.03,-0.26,,,
67,Biome,7.04,Southern Temperate,,,
68,Eastern Limit,7.05,European,,,
69,Continentality,7.06,Not continental,,,
70,Northern Limit in Britain,7.07,Yes,,,
71,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
72,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
73,Southern European Limit,7.1,No,,,
74,January mean temperature,7.11,4.7,,,
75,July mean temperature,7.12,15,,,
76,Annual precipitation,7.13,1081,,,
77,Ellenberg Indicator: Light,7.14,8,,,
78,Ellenberg : Moisture,7.15,8,,,
79,Ellenberg: pH,7.16,8,,,
80,Ellenberg Indicator: Nitrogen,7.17,5,,,
81,Ellenberg Indicator: Salt,7.18,5,,,
82,Life Form: normal state,7.19,Non-bulbous geophyte,,,
83,Clonality: normal state,7.21,Tussock forming graminoid,,,
