,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,719,-,-,
4,Altitude: 2. minimum recorded (m),1.13,460,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,Range: 3. continents where native,2.11,Asia,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,Range: 3. continents where native,2.11,North America,-,-,
10,Range: 4. continents where introduced,2.12,South America,-,-,
11,SN Index,2.13,8.39,-,-,
12,EW Index,2.14,8.5,-,-,
13,number of European countries in which native,2.17,8,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,self-supporting,-,-,
16,Height: 3. typical maximum (cm),3.05,6,-,-,
17,Height: 4. typical minimum (cm),3.06,1,-,-,
18,Spread,3.07,height < width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
23,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,rounded,-,-,
25,Leaf shape: 5. leaf base,3.13,truncate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,1,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,2,-,-,
29,Leaf area (cm2),3.17,0.1-1,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,therophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
37,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
38,Flowering time: 1. earliest month,5.07,6,-,-,
39,Flowering time: 2. latest month,5.08,8,-,-,
40,Pollen: 2. diameter (um),5.13,26,-,-,
41,Pollen vector,5.15,selfed,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Dichogamy,5.17,homogamous,-,-,
44,Fertilization,5.19,normally self,-,-,
45,Cleistogamy,5.2,some cleistogamous flowers,-,-,
46,Incompatibility systems,5.22,none,-,-,
47,Chromosome number(s): 1. number,5.25,28,,-,
48,Normal method of propagation,5.52,seed,-,-,
49,Seedbank type,5.53,transient,-,-,
50,Flower colour,5.58,green,,,
51,Petal no,5.59,3,,,
52,Petal (sepal) size (cm),5.6,0.12,,,
53,Stigma number,5.61,2,,,
54,Stamen number,5.62,3,,3 glandular staminodes,
55,Sepal number,5.63,0,,monochlamydeous,
56,Carpel/Style number,5.64,2,,,
57,Inflorescence type,5.65,solitary,- few,"axillary, terminal",
58,Physical defences on leaves,6.02,glabrous,-,-,
59,Physical defences on stems,6.03,glabrous,-,-,
60,Rarity Status,7.02,Rare,,,
61,Change Index,7.03,0.12,,,
62,Biome,7.04,Arctic Montane,,,
63,Eastern Limit,7.05,Circumpolar,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,No,,,
66,"Northern European Limit (Lat,5C band)",7.08,>65,,,
67,"Southern European Limit (Latitude, 5C band)",7.09,55-60,,,
68,Southern European Limit,7.1,Yes,,,
69,January mean temperature,7.11,3.4,,,
70,July mean temperature,7.12,12.5,,,
71,Annual precipitation,7.13,2175,,,
72,Ellenberg Indicator: Light,7.14,8,,,
73,Ellenberg : Moisture,7.15,9,,,
74,Ellenberg: pH,7.16,6,,,
75,Ellenberg Indicator: Nitrogen,7.17,1,,,
76,Ellenberg Indicator: Salt,7.18,0,,,
77,Life Form: normal state,7.19,Therophyte,,,
78,Clonality: normal state,7.21,Little or no vegetative spread,,,
