,Name,Number,Value,Modifier,Notes,Subspecies
0,Waterlogging tolerance,1.021,2,,,
1,Shade tolerance,1.101,1,,,
2,Drought Tolerance,4.081,2,,,
3,Chromosome number(s): 1. number,5.25,48,,,
4,2C DNA content (pg),5.26,3.80,2n=48,,
5,Seed weight: 3. mean (mg),5.34,26.5,,,
6,Flower colour,5.58,yellow,,,
7,Petal no,5.59,5,2 fused,,
8,Petal (sepal) size (cm),5.6,1.55,1.3-1.8,standard,
9,Stigma number,5.61,1,,,
10,Stamen number,5.62,10,all fused,,
11,Sepal number,5.63,5,,,
12,Carpel/Style number,5.64,1,,,
13,Inflorescence type,5.65,raceme,,"terminal, pendent",
