,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,152,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1570,-,-,
9,Range: 3. continents where native,2.11,Africa,,-,
10,Range: 3. continents where native,2.11,Asia,,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,1.77,-,-,
13,EW Index,2.14,2.25,-,-,
14,number of European countries in which native,2.17,16,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,250,-,-,
18,Height: 4. typical minimum (cm),3.06,60,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,developmental,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
23,Leaf shape: 2. outline,3.1,toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cordate,-,-,
27,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
28,Leaf shape: 6. petiole,3.14,clasping,-,-,
29,Leaf shape: 6. petiole,3.14,petiolate,-,-,
30,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,hemicryptophyte,-,-,
36,Life-form,5.01,therophyte,-,-,
37,Mono/poly-carpic,5.04,monocarpic,-,-,
38,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
39,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
40,Flowering time: 1. earliest month,5.07,7,-,-,
41,Flowering time: 2. latest month,5.08,9,-,-,
42,Chromosome number(s): 1. number,5.25,18,,-,
43,2C DNA content (pg),5.26,7.51,,,
44,Time of seed dispersal (season),5.28,autumn,-,-,
45,Seed size - length of longest axis (mm),5.31,4.5,achene,-,
46,Seed weight: 1. maximum (mg),5.32,1.1,-,-,
47,Seed weight: 3. mean (mg),5.34,0.79,-,-,
48,Seed weight: 3. mean (mg),5.34,0.8971,,,
49,Seed production: 1. maximum (/flower),5.35,19,fruits/head,-,
50,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
51,Seed production: 3. typical range (/plant),5.37,>10000,-,-,
52,Dispersal agent,5.38,wind,-,-,
53,Time of germination (season),5.39,autumn,-,-,
54,Time of germination (season),5.39,spring,-,-,
55,Seed viability,5.49,high,-,-,
56,Seedbank longevity,5.5,1-5 yrs,at least,-,
57,Seedbank density: recorded values,5.51,no persistent seedbank recorded,-,-,
58,Seedbank type,5.53,long-term persistent,-,-,
59,Seedbank type,5.53,short-term persistent,-,-,
60,Flower colour,5.58,yellow,,,
61,Petal no,5.59,5,many,flowers mistaken for petals,
62,Petal (sepal) size (cm),5.6,,,ligulate,
63,Stigma number,5.61,2,,,
64,Stamen number,5.62,5,,fused into a tube,
65,Sepal number,5.63,0,many,sepaloid phyllaries,
66,Carpel/Style number,5.64,1,,,
67,Inflorescence type,5.65,capitulum,,elongated pyramidal panicle,
68,Physical defences on leaves,6.02,glabrous,-,-,
69,Physical defences on leaves,6.02,prickles,lower epidermis,-,
70,Physical defences on leaves,6.02,spines,-,-,
71,Physical defences on stems,6.03,glabrous,-,-,
72,Physical defences on stems,6.03,prickles,below,-,
73,Rarity Status,7.02,Present,,,
74,Change Index,7.03,1.16,,,
75,Biome,7.04,Southern Temperate,,,
76,Eastern Limit,7.05,Suboceanic,,,
77,Continentality,7.06,Not continental,,,
78,Northern Limit in Britain,7.07,Yes,,,
79,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
80,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
81,Southern European Limit,7.1,No,,,
82,January mean temperature,7.11,3.6,,,
83,July mean temperature,7.12,16,,,
84,Annual precipitation,7.13,693,,,
85,Ellenberg Indicator: Light,7.14,8,,,
86,Ellenberg : Moisture,7.15,4,,,
87,Ellenberg: pH,7.16,7,,,
88,Ellenberg Indicator: Nitrogen,7.17,7,,,
89,Ellenberg Indicator: Salt,7.18,0,,,
90,Life Form: normal state,7.19,Hemicryptophyte,,,
91,Clonality: normal state,7.21,Little or no vegetative spread,,,
