,Name,Number,Value,Modifier,Notes,Subspecies
0,Flow,1.15A,nil,-,-,
1,Status,2.01,naturalised,-,-,
2,Dynamics,2.03,increasing,-,-,
3,Dynamics,2.03,increasing,-,-,
4,First historical record: 1. date,2.04,1944,-,-,
5,Range: 3. continents where native,2.11,Africa,-,-,
6,Range: 4. continents where introduced,2.12,Australasia,-,-,
7,Range: 4. continents where introduced,2.12,Europe,-,-,
8,SN Index,2.13,1.67,-,-,
9,EW Index,2.14,3.74,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Leaf position,3.02A,submerged,-,-,
12,Spread,3.07,height < width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,simple,-,-,
15,Leaf shape: 2. outline,3.10,toothed,-,-,
16,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
17,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
18,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
19,Leaf shape: 6. petiole,3.14,sessile,-,-,
20,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
21,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
22,Leaf area (cm2),3.17,0.1-1,-,-,
23,Photosynthetic pathway,4.02,C3,-,-,
24,Heavy metal resistance,4.05,none,-,-,
25,Carnivory,4.06,does not kill insects,-,-,
26,Nutrition,4.07,autotrophic,-,-,
27,Life-form,5.01,hydrophyte,-,-,
28,Pollen vector,5.15,water,-,-,
29,Dicliny,5.16,dioecious,-,-,
30,Fertilization,5.19,no seed produced in Britain,-,-,
31,2C DNA content (pg),5.26,6.50,,,
32,Normal method of propagation,5.52,vegetative,-,-,
33,Flower colour,5.58,red,,,
34,Petal no,5.59,3,,,
35,Petal (sepal) size (cm),5.60,minute,,,
36,Stigma number,5.61,6,,,
37,Stamen number,5.62,3,,,
38,Sepal number,5.63,3,,,
39,Carpel/Style number,5.64,3,,bifid,
40,Inflorescence type,5.65,solitary,several,axillary in spathe,
41,Biome,7.04,Mediterranean,,,
42,Eastern Limit,7.05,Hyperoceanic,,,
43,Continentality,7.06,Not continental,,,
44,Northern Limit in Britain,7.07,No,,,
45,Southern European Limit,7.10,No Data,,,
46,January mean temperature,7.11,4,,,
47,July mean temperature,7.12,16,,,
48,Annual precipitation,7.13,839,,,
49,Ellenberg Indicator: Light,7.14,6,,,
50,Ellenberg : Moisture,7.15,12,,,
51,Ellenberg: pH,7.16,7,,,
52,Ellenberg Indicator: Nitrogen,7.17,6,,,
53,Ellenberg Indicator: Salt,7.18,0,,,
54,Life Form: normal state,7.19,Perennial hydrophyte,,,
55,Clonality: normal state,7.21,Irregularly fragmenting (mainly water plants),,,
