,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,,-,
3,Altitude: 1. maximum recorded (m),1.12,457,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Dynamics,2.03,declining,-,-,
8,First historical record: 1. date,2.04,1597,-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,3.03,-,-,
14,EW Index,2.14,3.41,-,-,
15,number of European countries in which native,2.17,31,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,25,-,-,
19,Height: 4. typical minimum (cm),3.06,5,-,-,
20,Spread,3.07,height = width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,crenate,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cordate,-,-,
27,Leaf shape: 5. leaf base,3.13,rounded,-,-,
28,Leaf shape: 6. petiole,3.14,petiolate,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,50,-,-,
30,Leaf area (cm2),3.17,1-10,-,-,
31,Stomata: 1. surfaces present,3.19,both,,,
32,Stomata: 2. density on lower surface(no/mm2),3.2,185.65,,,
33,Stomata: 3. density on upper surface (no/mm2),3.21,73.16,,,
34,Root depth: 2. depth (cm),3.26,>100,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,therophyte,-,-,
40,Longevity of stems (yrs),5.02,<1,-,-,
41,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
42,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
43,Flowering time: 1. earliest month,5.07,4,-,-,
44,Flowering time: 2. latest month,5.08,8,-,-,
45,Photoperiodism: 1. type,5.1,day-neutral,,-,
46,Pollen: 2. diameter (um),5.13,50,-,-,
47,Pollen vector,5.15,insect,-,-,
48,Dicliny,5.16,hermaphrodite,-,-,
49,Dichogamy,5.17,homogamous,-,-,
50,Dichogamy,5.17,weakly protandrous,-,-,
51,Fertilization,5.19,normally self,-,-,
52,Cleistogamy,5.2,pseudo-cleistogamous,in dull weather,-,
53,Cleistogamy,5.2,some cleistogamous flowers,-,-,
54,Incompatibility systems,5.22,none,-,-,
55,Pollen/ovule ratio,5.23,517.3,,-,
56,Chromosome number(s): 1. number,5.25,18,,-,
57,Dispersule size - length of longest axis (mm),5.3,2.0,nutlet,-,
58,Seed weight: 1. maximum (mg),5.32,0.6,-,-,
59,Seed weight: 2. minimum (mg),5.33,0.5,-,-,
60,Seed weight: 3. mean (mg),5.34,0.53,-,-,
61,Seed weight: 3. mean (mg),5.34,0.6,,,
62,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
63,Time of germination (season),5.39,spring,-,-,
64,Time of germination (season),5.39,summer,-,-,
65,After-ripening requirement,5.4,absolute,,-,
66,Germination requirements 2. light,5.46,partial,-,-,
67,Normal method of propagation,5.52,seed,-,-,
68,Seedbank type,5.53,long-term persistent,-,-,
69,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
70,Seedbank type,5.53,short-term persistent,-,-,
71,Seedbank type,5.53,transient,-,-,
72,Maximum seedbank density (m2),5.54,2025,-,-,
73,Minimum seedbank density (m2),5.55,7,-,-,
74,Mean seedbank density (m2),5.56,407.5,-,-,
75,Flower colour,5.58,pink-purple,,,
76,Petal no,5.59,5,,fused,
77,Petal (sepal) size (cm),5.6,1.7,1.4-2,,
78,Stigma number,5.61,2,,,
79,Stamen number,5.62,4,,,
80,Sepal number,5.63,5,,fused,
81,Carpel/Style number,5.64,1,,,
82,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
83,Physical defences on leaves,6.02,soft hairs,-,-,
84,Physical defences on stems,6.03,soft hairs,-,-,
85,Change Index,7.03,-0.22,,,
86,Biome,7.04,Southern Temperate,,,
87,Eastern Limit,7.05,Euro-Siberian,,,
88,Continentality,7.06,Not continental,,,
89,Northern Limit in Britain,7.07,No,,,
90,Southern European Limit,7.1,No Data,,,
91,January mean temperature,7.11,3.7,,,
