,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,320,-,-,
4,Status,2.01,native,-,-,
5,First historical record: 1. date,2.04,1837,-,-,
6,First historical record: 2. site,2.05,Edinburgh,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,7.6,-,-,
9,EW Index,2.14,4.04,-,-,
10,number of European countries in which native,2.17,9,-,-,
11,Stems: 1. woodiness,3.01,non-woody,-,-,
12,Stems: 2. support,3.02,self-supporting,-,-,
13,Height: 3. typical maximum (cm),3.05,25,-,-,
14,Height: 4. typical minimum (cm),3.06,5,-,-,
15,Spread,3.07,height = width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,crenate,-,-,
19,Leaf shape: 2. outline,3.1,toothed,-,-,
20,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
21,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
22,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
23,Leaf shape: 5. leaf base,3.13,cordate,-,-,
24,Leaf shape: 5. leaf base,3.13,rounded,-,-,
25,Leaf shape: 6. petiole,3.14,petiolate,-,-,
26,Leaf area (cm2),3.17,1-10,-,-,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,therophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
34,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
35,Flowering time: 1. earliest month,5.07,5,-,-,
36,Flowering time: 2. latest month,5.08,9,-,-,
37,Pollen vector,5.15,insect,-,-,
38,Dicliny,5.16,hermaphrodite,-,-,
39,Fertilization,5.19,normally self,-,-,
40,Incompatibility systems,5.22,none,-,-,
41,Chromosome number(s): 1. number,5.25,36,,-,
42,Normal method of propagation,5.52,seed,-,-,
43,Flower colour,5.58,pink-purple,,,
44,Petal no,5.59,5,,fused,
45,Petal (sepal) size (cm),5.6,1.75,1.4-2(-2.5),,
46,Stigma number,5.61,2,,,
47,Stamen number,5.62,4,,,
48,Sepal number,5.63,5,,fused,
49,Carpel/Style number,5.64,1,,,
50,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
51,Physical defences on leaves,6.02,soft hairs,-,-,
52,Physical defences on stems,6.03,soft hairs,-,-,
53,Change Index,7.03,-0.40,,,
54,Biome,7.04,Boreal montane,,,
55,Eastern Limit,7.05,European,,,
56,Continentality,7.06,Not continental,,,
57,Northern Limit in Britain,7.07,No,,,
58,Southern European Limit,7.1,No Data,,,
59,January mean temperature,7.11,3.5,,,
60,July mean temperature,7.12,13.5,,,
61,Annual precipitation,7.13,1097,,,
62,Ellenberg Indicator: Light,7.14,7,,,
63,Ellenberg : Moisture,7.15,5,,,
64,Ellenberg: pH,7.16,7,,,
65,Ellenberg Indicator: Nitrogen,7.17,7,,,
66,Ellenberg Indicator: Salt,7.18,0,,,
67,Life Form: normal state,7.19,Therophyte,,,
68,Clonality: normal state,7.21,Little or no vegetative spread,,,
