,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,-,-,
2,Status,2.01,naturalised,-,-,
3,Height: 3. typical maximum (cm),3.05,30,-,-,
4,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
5,Leaf shape: 6. petiole,3.14,sessile,-,-,
6,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
7,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
8,Leaf area (cm2),3.17,0.1-1,-,-,
9,Photosynthetic pathway,4.02,C3,-,-,
10,Heavy metal resistance,4.05,none,-,-,
11,Carnivory,4.06,does not kill insects,-,-,
12,Nutrition,4.07,autotrophic,-,-,
13,Seed weight: 3. mean (mg),5.34,0.5023,,,
14,Petal no,5.59,numerous,,,
15,Petal no,5.59,pink,purple,,
16,Petal (sepal) size (cm),5.6,2,1.75-2.25,,
17,Stigma number,5.61,5,,,
18,Stamen number,5.62,numerous,,,
19,Sepal number,5.63,5,,,
20,Carpel/Style number,5.64,5,,,
21,Inflorescence type,5.65,cluster,1-many,terminal,
