,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,Fertile,v fertile,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Shade,1.1,none,light,,
3,Range: 3. continents where native,2.11,C. europe,,,
4,Range: 4. continents where introduced,2.12,"Australasia, North America, South America, Asia 3.01",,,
5,Stems: 1. woodiness,3.01,not woody,,,
6,Stems: 2. support,3.02,tendrils,scrambling,,
7,Height: 1. extreme maximum (cm),3.03,300,,,
8,Height: 3. typical maximum (cm),3.05,200,,,
9,Height: 4. typical minimum (cm),3.06,100,,,
10,Spread,3.07,ht = width,,,
11,Heterophylly,3.08,none,,,
12,Leaf shape: 1. type,3.09,compound,,,
13,Leaf shape: 2. outline,3.1,entire,,,
14,Leaf shape: 3. pointed/round,3.11,pointed,,,
15,Leaf shape: 4. length versus breadth,3.12,length = width,,,
16,Leaf shape: 5. leaf base,3.13,cuneate,,,
17,Leaf shape: 6. petiole,3.14,petiolate,,,
18,Leaf shape: 7. minimum petiole length (mm),3.15,10-100,,,
19,Leaf lamina thickness: 1. range,3.18,0.2-0.5,0.257 (0.219-0.236),,
20,Stomata: 1. surfaces present,3.19,both,,,
21,Stomata: 2. density on lower surface(no/mm2),3.2,78,59-102,,
22,Stomata: 3. density on upper surface (no/mm2),3.21,70,48-92,,
23,Max. Stem Diameter (mm),3.34,7,0.4-0.9,,
24,Mature leaf N concentration (mg/g),4.03,37.73,,,
25,Mature leaf P concentration (mg/g),4.04,1.15,,,
26,Carnivory,4.06,does not kill insects,,,
27,Nutrition,4.07,autotrophic,,,
28,Response to frost (non-woody tissue),4.09,resistant,,,
29,Life-form,5.01,hemicryptophyte,proto-,,
30,Longevity of stems (yrs),5.02,<1,,,
31,Mono/poly-carpic,5.04,polycarpic,,,
32,Vegetative reproduction/persistence: 1. method,5.05,rhizome,,,
33,Flowering time: 1. earliest month,5.07,6,,,
34,Flowering time: 2. latest month,5.08,8,,,
35,Flowering time: 3. peak month,5.09,7,,,
36,Dicliny,5.16,hermaphrodite,,,
37,Fertilization,5.19,insects,bees,,
38,Chromosome number(s): 1. number,5.25,14,,,
39,2C DNA content (pg),5.26,21.47,,,
40,2C DNA content (pg),5.26,21.75,,,
41,Dispersule size - length of longest axis (mm),5.3,5.5,,,
42,Seed size - length of longest axis (mm),5.31,5.5,,,
43,Seed weight: 3. mean (mg),5.34,40.3,,,
44,Seed weight: 3. mean (mg),5.34,51,,,
45,Seed production: 1. maximum (/flower),5.35,23,,,
46,Seed production: 2. typical range (/flower),5.36,10-100,8-124(-23),,
47,Flower colour,5.58,pink-purple,,,
48,Petal no,5.59,5,2 fused,,
49,Petal (sepal) size (cm),5.6,2.25,1.5-3.0,standard,
50,Stigma number,5.61,1,,,
51,Stamen number,5.62,10,9 fused,,
52,Sepal number,5.63,5,,,
53,Carpel/Style number,5.64,1,,,
54,Inflorescence type,5.65,raceme,,"few fld, axillary",
55,Physical defences on leaves,6.02,glabrous,,,
56,Physical defences on stems,6.03,glabrous,,,
57,Physical defences on flowers/fruits,6.04,tubercles,,,
58,Physical defences on buds,6.05,glabrous,,,
59,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
60,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
61,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
62,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
63,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
64,Ellenberg: pH,7.16,9,,Data calculated for Europe,
65,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
66,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
67,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
68,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
69,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
70,Ellenberg: Temperature,7.23,8,,Data calculated for Europe,
71,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
