,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,FERTILE,,,
1,Soil moisture: 2. drainage,1.03,Free draining,,,
2,Shade,1.1,none,light,,
3,Range: 1. european countries where native,2.09,Italy,"south, Sicily",,
4,Range: 3. continents where native,2.11,Eu,,,
5,Range: 4. continents where introduced,2.12,"N.Am, Australasia",,,
6,number of European countries in which native,2.17,1,,,
7,Stems: 1. woodiness,3.01,not woody,,,
8,Stems: 2. support,3.02,tendrils,,,
9,Height: 3. typical maximum (cm),3.05,250,,,
10,Spread,3.07,ht=width,,,
11,Heterophylly,3.08,none,,,
12,Leaf shape: 1. type,3.09,compound,,,
13,Leaf shape: 2. outline,3.1,entire,,,
14,Leaf shape: 3. pointed/round,3.11,round,elliptic-ovate,,
15,Leaf shape: 5. leaf base,3.13,cuneate,,,
16,Leaf shape: 6. petiole,3.14,petiolate,,,
17,Leaf area (cm2),3.17,10-100,,,
18,Carnivory,4.06,does not kill insects,,,
19,Nutrition,4.07,autotrophic,,,
20,Response to frost (non-woody tissue),4.09,resistant,,,
21,Life-form,5.01,hemicryptophyte,proto-,,
22,Longevity of stems (yrs),5.02,> 1 yr,,,
23,Mono/poly-carpic,5.04,monocarpic,,,
24,Vegetative reproduction/persistence: 1. method,5.05,none,,,
25,Pollen: 2. diameter (um),5.13,3640 x 32,,,
26,Pollen vector,5.15,insect,bees,,
27,Dicliny,5.16,hermaphrodite,,,
28,Chromosome number(s): 1. number,5.25,14,,,
29,2C DNA content (pg),5.26,14.55,,,
30,2C DNA content (pg),5.26,15.55,,,
31,Dispersule size - length of longest axis (mm),5.3,5,,,
32,Seed size - length of longest axis (mm),5.31,5,,,
33,Seed weight: 3. mean (mg),5.34,69.2,,,
34,Normal method of propagation,5.52,seed,,,
35,Flower colour,5.58,pink,"white, mauve, purple",,
36,Petal no,5.59,5,2 fused,,
37,Petal (sepal) size (cm),5.6,2.75,2-3.5,standard,
38,Stigma number,5.61,1,,,
39,Stamen number,5.62,10,9 fused,,
40,Sepal number,5.63,5,,,
41,Carpel/Style number,5.64,1,,,
42,Inflorescence type,5.65,raceme,,"few fld, axillary",
43,Physical defences on leaves,6.02,Glabrous,,,
44,Physical defences on stems,6.03,glabrous,,,
45,Physical defences on flowers/fruits,6.04,glabrous,,,
46,Physical defences on buds,6.05,glabrous,,,
