,Name,Number,Value,Modifier,Notes,Subspecies
0,Stomata: 1. surfaces present,3.19,both,,,
1,Stomata: 2. density on lower surface(no/mm2),3.2,149.45,�27.4,,
2,Stomata: 3. density on upper surface (no/mm2),3.21,171.65,�44.8,,
3,Chromosome number(s): 1. number,5.25,14,,,
4,2C DNA content (pg),5.26,16.80,,,
5,Flower colour,5.58,white,"pink, blue",,
6,Petal no,5.59,5,2 fused,,
7,Petal (sepal) size (cm),5.6,1.8,1.2-2.4,standard,
8,Stigma number,5.61,1,,,
9,Stamen number,5.62,10,9 fused,,
10,Sepal number,5.63,5,,,
11,Carpel/Style number,5.64,1,,,
12,Inflorescence type,5.65,raceme,,"few fld, axillary",
