,Name,Number,Value,Modifier,Notes,Subspecies
0,Petal no,5.59,5,,,
1,Stigma number,5.61,numerous,,,
2,Stamen number,5.62,numerous,,,
3,Sepal number,5.63,5,,,
4,Carpel/Style number,5.64,numerous,,,
5,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
6,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
7,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
8,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
9,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
10,Ellenberg: pH,7.16,,,Data calculated for Europe,
11,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
12,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
13,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
14,Ellenberg Indicator: Salt,7.18,1,,Data calculated for Europe,
15,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
16,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
17,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
