,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Water nutrients,1.01A,mesotrophic,-,-,
2,Salinity,1.05,salt-affected,-,-,
3,Shade,1.10,none,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Flow,1.15A,nil,-,-,
6,Flow,1.15A,slight,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,Dynamics,2.03,increasing,-,-,
10,First historical record: 1. date,2.04,1778,-,-,
11,First historical record: 2. site,2.05,Worcestershire,-,-,
12,Range: 3. continents where native,2.11,Africa,-,-,
13,Range: 3. continents where native,2.11,Asia,-,-,
14,Range: 3. continents where native,2.11,Australasia,-,-,
15,Range: 3. continents where native,2.11,Europe,-,-,
16,Range: 3. continents where native,2.11,North America,-,-,
17,Range: 3. continents where native,2.11,South America,-,-,
18,SN Index,2.13,2.14,-,-,
19,EW Index,2.14,3.23,-,-,
20,number of European countries in which native,2.17,27,-,-,
21,Stems: 1. woodiness,3.01,non-woody,-,-,
22,Leaf position,3.02A,floating,-,-,
23,Spread,3.07,not applicable,aquatic,-,
24,Heterophylly,3.08,not applicable,no leaves,-,
25,Leaf shape: 1. type,3.09,absent,-,-,
26,Leaf shape: 2. outline,3.10,not applicable,no leaves,-,
27,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
28,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
29,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
30,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
31,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
32,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
33,Leaf area (cm2),3.17,0.1-1,-,-,
34,Root hairs,3.28,absent,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,hydrophyte,-,-,
40,Vegetative reproduction/persistence: 1. method,5.05,buds,-,-,
41,Vegetative reproduction/persistence: 1. method,5.05,turions,-,-,
42,Vegetative reproduction/persistence: 2. pattern,5.06,ramets not connected,-,-,
43,Photoperiodism: 1. type,5.10,long-day,,-,
44,Pollen: 2. diameter (um),5.13,22,-,-,
45,Dicliny,5.16,monoecious,-,-,
46,Chromosome number(s): 1. number,5.25,40,-,-,
47,Chromosome number(s): 1. number,5.25,50,-,-,
48,Chromosome number(s): 1. number,5.25,64,-,-,
49,2C DNA content (pg),5.26,1,,,
50,Time of germination (season),5.39,spring,-,-,
51,Time of germination (season),5.39,summer,-,-,
52,After-ripening requirement,5.40,none,,-,
53,Germination requirements 2. light,5.46,absolute,,-,
54,Flower colour,5.58,green,,,
55,Petal no,5.59,0,,,
56,Petal (sepal) size (cm),5.60,0,,,
57,Stigma number,5.61,1,,,
58,Stamen number,5.62,1,2,,
59,Sepal number,5.63,0,,,
60,Carpel/Style number,5.64,0,,,
61,Inflorescence type,5.65,solitary,,,
62,Rarity Status,7.02,Present,,,
63,Change Index,7.03,0.07,,,
64,Biome,7.04,Southern Temperate,,,
65,Eastern Limit,7.05,European,,,
66,Continentality,7.06,Not continental,,,
67,Northern Limit in Britain,7.07,No,,,
68,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
69,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
70,Southern European Limit,7.10,No,,,
71,January mean temperature,7.11,3.8,,,
72,July mean temperature,7.12,16,,,
73,Annual precipitation,7.13,739,,,
74,Ellenberg Indicator: Light,7.14,7,,,
75,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
77,Ellenberg : Moisture,7.15,11,,,
78,Ellenberg : Moisture,7.15,11,,Data calculated for the Czech Republic,
79,Ellenberg : Moisture,7.15,11,,Data calculated for Europe,
80,Ellenberg: pH,7.16,7,,,
81,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
82,Ellenberg: pH,7.16,8,,Data calculated for Europe,
83,Ellenberg Indicator: Nitrogen,7.17,8,,,
84,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for the Czech Republic,
85,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
86,Ellenberg Indicator: Salt,7.18,1,,,
87,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
88,Ellenberg Indicator: Salt,7.18,1,,Data calculated for Europe,
89,Life Form: normal state,7.19,Perennial hydrophyte,,,
90,Clonality: normal state,7.21,Fragmenting as part of normal growth,,,
91,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
92,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
93,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
