,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Salinity,1.05,salt-affected,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,975,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Dynamics,2.03,increasing,-,-,
8,First historical record: 1. date,2.04,1570,-,-,
9,First historical record: 2. site,2.05,Rochester,-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,SN Index,2.13,3.94,-,-,
15,EW Index,2.14,4.44,-,-,
16,number of European countries in which native,2.17,27,-,-,
17,Stems: 1. woodiness,3.01,non-woody,-,-,
18,Stems: 2. support,3.02,decumbent,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 3. typical maximum (cm),3.05,60,-,-,
21,Height: 4. typical minimum (cm),3.06,5,-,-,
22,Spread,3.07,height = width,-,-,
23,Heterophylly,3.08,none,-,-,
24,Leaf shape: 1. type,3.09,simple,-,-,
25,Leaf shape: 2. outline,3.1,lobed,-,-,
26,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
27,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
28,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
29,Leaf shape: 6. petiole,3.14,petiolate,-,-,
30,Leaf area (cm2),3.17,10-100,-,-,
31,Leaf longevity: 1. type,3.22,evergreen,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hemicryptophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Mono/poly-carpic,5.04,polycarpic,-,-,
39,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
40,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
41,Flowering time: 1. earliest month,5.07,6,-,-,
42,Flowering time: 2. latest month,5.08,10,-,-,
43,Pollen vector,5.15,insect,-,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Fertilization,5.19,cross and self,-,-,
46,Incompatibility systems,5.22,none,-,-,
47,Chromosome number(s): 1. number,5.25,12,,-,
48,Chromosome number(s): 1. number,5.25,24,,-,
49,2C DNA content (pg),5.26,2.32,2n=12,,
50,2C DNA content (pg),5.26,2.7,2n=12,-,
51,2C DNA content (pg),5.26,6.0,2n=24,-,
52,Appendages on dispersal unit,5.27,pappus,-,-,
53,Time of seed dispersal (season),5.28,autumn,-October,-,
54,Time of seed dispersal (season),5.28,summer,-,-,
55,Dispersule size - length of longest axis (mm),5.3,10.5,achene and pappus,-,
56,Seed size - length of longest axis (mm),5.31,4.5,dispersed with pappus of c. 6mm long,-,
57,Seed weight: 3. mean (mg),5.34,0.7,,,
58,Seed weight: 3. mean (mg),5.34,0.70,-,-,
59,Seed production: 1. maximum (/flower),5.35,60,-,-,
60,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
61,Dispersal agent,5.38,wind,-,-,
62,Time of germination (season),5.39,autumn,-,-,
63,Time of germination (season),5.39,spring,-,-,
64,Maximum temperature at which 50% seeds germinate,5.42,32,-,-,
65,Minimum temperature at which 50% seeds germinate,5.44,18,-,-,
66,Germination type,5.48,epigeal,-,-,
67,Seedbank longevity,5.5,1-5 yrs,-,-,
68,Normal method of propagation,5.52,seed,-,-,
69,Seedbank type,5.53,long-term persistent,-,-,
70,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
71,Seedbank type,5.53,short-term persistent,-,-,
72,Seedbank type,5.53,transient,-,-,
73,Maximum seedbank density (m2),5.54,4238,-,-,
74,Minimum seedbank density (m2),5.55,3,-,-,
75,Mean seedbank density (m2),5.56,300,-,-,
76,Flower colour,5.58,yellow,red,beneath outermost florets,
77,Petal no,5.59,5,many,flowers mistaken for petals,
78,Petal (sepal) size (cm),5.6,1.45,1.3-1.6,ligulate,
79,Stigma number,5.61,2,,,
80,Stamen number,5.62,5,,fused into a tube,
81,Sepal number,5.63,0,many,sepaloid phyllaries,
82,Carpel/Style number,5.64,1,,,
83,Inflorescence type,5.65,capitulum,,"few, on branched scape, rarely solitary",
84,Physical defences on leaves,6.02,glabrous,-,-,
85,Physical defences on leaves,6.02,hairy,-,-,
86,Physical defences on flowers/fruits,6.04,glabrous,flower,-,
87,Physical defences on flowers/fruits,6.04,hairy,flower,-,
88,Physical defences on flowers/fruits,6.04,soft hairs,fruit,-,
89,Rarity Status,7.02,Present,,,
90,Change Index,7.03,1.33,,,
91,Biome,7.04,Boreo-Temperate,,,
92,Eastern Limit,7.05,European,,,
93,Continentality,7.06,Not continental,,,
94,Northern Limit in Britain,7.07,No,,,
95,"Northern European Limit (Lat,5C band)",7.08,>65,,,
96,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
97,Southern European Limit,7.1,No,,,
98,January mean temperature,7.11,3.5,,,
99,July mean temperature,7.12,14,,,
100,Annual precipitation,7.13,1103,,,
101,Ellenberg Indicator: Light,7.14,8,,,
102,Ellenberg : Moisture,7.15,6,,,
103,Ellenberg: pH,7.16,6,,,
104,Ellenberg Indicator: Nitrogen,7.17,4,,,
105,Ellenberg Indicator: Salt,7.18,1,,,
106,Life Form: normal state,7.19,Hemicryptophyte,,,
107,Clonality: normal state,7.21,Little or no vegetative spread,,,
