,Name,Number,Value,Modifier,Notes,Subspecies
0,Height: 3. typical maximum (cm),3.05,100,,,
1,2C DNA content (pg),5.26,1.61,,,
2,Seed weight: 3. mean (mg),5.34,0.765,,,
3,Seed weight: 3. mean (mg),5.34,1,,,
4,Flower colour,5.58,pink,,,
5,Petal no,5.59,5,,fused,
6,Petal (sepal) size (cm),5.6,1,0.8-1.2,,
7,Stigma number,5.61,2,,,
8,Stamen number,5.62,4,,,
9,Sepal number,5.63,5,,fused,
10,Carpel/Style number,5.64,1,,,
11,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
12,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
13,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
14,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
15,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
16,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
17,Ellenberg: pH,7.16,8,,Data calculated for Europe,
18,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for the Czech Republic,
19,Ellenberg Indicator: Nitrogen,7.17,9,,Data calculated for Europe,
20,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
21,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
22,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
23,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
24,Ellenberg: Continetality,7.24,6,,Data calculated for Europe,
