,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Waterlogging tolerance,1.021,1.88,�0.11,,
3,Shade,1.1,light,-,-,
4,Shade,1.1,none,-,-,
5,Shade tolerance,1.101,2.29,�0.19,,
6,Altitude: 1. maximum recorded (m),1.12,487,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Altitude: 4. typical minimum (m),1.14,0,-,-,
9,Status,2.01,native,-,-,
10,Typical abundance where naturally occurring,2.02,frequent,-,-,
11,First historical record: 1. date,2.04,1562,-,-,
12,First historical record: 2. site,2.05,Cambridge,-,-,
13,Range: 3. continents where native,2.11,Africa,-,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,SN Index,2.13,2.9,-,-,
16,EW Index,2.14,4.51,-,-,
17,number of European countries in which native,2.17,24,-,-,
18,Medicinal Use,2.18,earache,,,
19,Medicinal Use,2.18,sore throat,,,
20,Stems: 1. woodiness,3.01,woody,-,-,
21,Stems: 2. support,3.02,self-supporting,-,-,
22,Height: 3. typical maximum (cm),3.05,500,-,-,
23,Spread,3.07,height = width,,-,
24,Heterophylly,3.08,none,-,-,
25,Leaf shape: 1. type,3.09,simple,-,-,
26,Leaf shape: 2. outline,3.1,entire,-,-,
27,Leaf shape: 3. pointed/round,3.11,pointed,,-,
28,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
29,Leaf shape: 5. leaf base,3.13,cuneate,,-,
30,Leaf shape: 6. petiole,3.14,petiolate,,-,
31,Leaf shape: 7. minimum petiole length (mm),3.15,5,,-,
32,Leaf shape: 8. maximum petiole length (mm),3.16,15,,-,
33,Leaf area (cm2),3.17,1-10,-,-,
34,Stomata: 1. surfaces present,3.19,lower,-,-,
35,Stomata: 1. surfaces present,3.19,lower,,,
36,Stomata: 2. density on lower surface(no/mm2),3.2,200.02,,,
37,Stomata: 2. density on lower surface(no/mm2),3.2,300,-,-,
38,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
39,Leaf longevity: 1. type,3.22,aestival,-,-,
40,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
41,Photosynthetic pathway,4.02,C3,-,-,
42,Heavy metal resistance,4.05,none,-,-,
43,Carnivory,4.06,does not kill insects,-,-,
44,Nutrition,4.07,autotrophic,-,-,
