,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 1. water table,1.02,periodically high,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,457,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,First historical record: 1. date,2.04,1663,-,-,
9,First historical record: 2. site,2.05,Cambridge,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 3. continents where native,2.11,North America,-,-,
13,SN Index,2.13,3.18,-,-,
14,EW Index,2.14,4.88,-,-,
15,number of European countries in which native,2.17,22,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,creeping,-,-,
18,Height: 3. typical maximum (cm),3.05,5,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,50,-,-,
28,Leaf area (cm2),3.17,0.1-1,-,-,
29,Root hairs,3.28,present,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,therophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
37,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
38,Flowering time: 1. earliest month,5.07,6,-,-,
39,Flowering time: 2. latest month,5.08,10,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Cleistogamy,5.2,usually cleistogamous,-,-,
42,Chromosome number(s): 1. number,5.25,40,,-,
43,Time of seed dispersal (season),5.28,autumn,-,-,
44,Time of seed dispersal (season),5.28,summer,-,-,
45,Seed size - length of longest axis (mm),5.31,0.7,-,-,
46,Seed weight: 3. mean (mg),5.34,0.01,-,-,
47,Seed weight: 3. mean (mg),5.34,0.019,,,
48,Seed production: 1. maximum (/flower),5.35,196,-,-,
49,Seed production: 2. typical range (/flower),5.36,100-1000,-,-,
50,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
51,Dispersal agent,5.38,carried by birds,-,-,
52,Dispersal agent,5.38,water,-,-,
53,Dispersal agent,5.38,wind,-,-,
54,Time of germination (season),5.39,autumn,-,-,
55,Time of germination (season),5.39,summer,-,-,
56,After-ripening requirement,5.4,none,-,-,
57,Germination requirements 2. light,5.46,absolute,-,-,
58,Normal method of propagation,5.52,seed,-,-,
59,Flower colour,5.58,white,pale mauve,,
60,Petal no,5.59,5,,,
61,Petal (sepal) size (cm),5.6,0.275,0.25-0.3,,
62,Petal (sepal) size (cm),5.6,0.375,0.34-0.5,,
63,Stigma number,5.61,1,2,,
64,Stamen number,5.62,4,,,
65,Sepal number,5.63,5,,,
66,Carpel/Style number,5.64,1,,,
67,Inflorescence type,5.65,solitary,,on pedicels from rosette,
68,Physical defences on leaves,6.02,glabrous,-,-,
69,Physical defences on stems,6.03,glabrous,-,-,
70,Rarity Status,7.02,Scarce,,,
71,Change Index,7.03,1.00,,,
72,Biome,7.04,Boreo-Temperate,,,
73,Eastern Limit,7.05,Circumpolar,,,
74,Continentality,7.06,Not continental,,,
75,Northern Limit in Britain,7.07,No,,,
76,"Northern European Limit (Lat,5C band)",7.08,>65,,,
77,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
78,Southern European Limit,7.1,No,,,
79,January mean temperature,7.11,3.5,,,
80,July mean temperature,7.12,15.5,,,
81,Annual precipitation,7.13,858,,,
82,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
83,Ellenberg Indicator: Light,7.14,8,,,
84,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
85,Ellenberg : Moisture,7.15,8,,,
86,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
87,Ellenberg : Moisture,7.15,8=,,Data calculated for Europe,
88,Ellenberg: pH,7.16,5,,,
89,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
90,Ellenberg: pH,7.16,7,,Data calculated for Europe,
91,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
92,Ellenberg Indicator: Nitrogen,7.17,5,,,
93,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
94,Ellenberg Indicator: Salt,7.18,0,,,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
96,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
97,Life Form: normal state,7.19,Therophyte,,,
98,Clonality: normal state,7.21,Far creeping stolons in illuminated medium,,,
99,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
100,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
101,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
