,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free draining,dry periods,,
2,Salinity,1.05,low,<4 dS/m,,
3,Soil pH: 1. extreme maximum,1.06,7,,,
4,Soil pH: 2. extreme minimum,1.07,5.5,,,
5,Soil pH: 3. typical maximum,1.08,6.5,,,
6,Soil pH: 4. typical minimum,1.09,6,,,
7,Shade,1.1,none,some,,
8,Stems: 1. woodiness,3.01,not woody,,,
9,Stems: 2. support,3.02,self supporting,,,
10,Height: 1. extreme maximum (cm),3.03,120,,,
11,Height: 3. typical maximum (cm),3.05,50,,,
12,Height: 3. typical maximum (cm),3.05,85,,,
13,Spread,3.07,height > width,,,
14,Heterophylly,3.08,none,,,
15,Leaf shape: 1. type,3.09,simple,,,
16,Leaf shape: 2. outline,3.1,entire,,,
17,Leaf shape: 3. pointed/round,3.11,pointed,,,
18,Leaf shape: 4. length versus breadth,3.12,>3 x as long as wide,,,
19,Leaf shape: 5. leaf base,3.13,cuneate,,,
20,Leaf shape: 6. petiole,3.14,sessile,,,
21,Leaf area (cm2),3.17,0.1-1,,,
22,Stomata: 1. surfaces present,3.19,both,,domesticated,
23,Stomata: 1. surfaces present,3.19,both,,wild,
24,Stomata: 2. density on lower surface(no/mm2),3.2,139.4,�14.7,domesticated,
25,Stomata: 2. density on lower surface(no/mm2),3.2,191.68,�25.1,wild,
26,Stomata: 3. density on upper surface (no/mm2),3.21,168.45,�27.9,wild,
27,Stomata: 3. density on upper surface (no/mm2),3.21,211.04,�36.5,domesticated,
28,Carnivory,4.06,does not kill insects,,,
29,Nutrition,4.07,autotrophic,,,
30,Response to frost (seedlings),4.1,1544,-1 to -11 C,,
31,Life-form,5.01,Therophyte,,,
32,Longevity of stems (yrs),5.02,<1,,,
33,Mono/poly-carpic,5.04,monocarpic,,,
34,Dicliny,5.16,hermaphrodite,,,
35,Chromosome number(s): 1. number,5.25,30,,,
36,Chromosome number(s): 1. number,5.25,32,,,
37,2C DNA content (pg),5.26,1.4,2n = 30,,
38,2C DNA content (pg),5.26,1.40,,,
39,2C DNA content (pg),5.26,7.2,,,
40,Seed size - length of longest axis (mm),5.31,5.5,4-7,,
41,Seed weight: 3. mean (mg),5.34,6.1,,,
42,Seed production: 1. maximum (/flower),5.35,10,,,
43,Seed production: 2. typical range (/flower),5.36,1-10,,,
44,Normal method of propagation,5.52,seed,,,
45,Flower colour,5.58,blue,,,
46,Petal no,5.59,5,,,
47,Stigma number,5.61,5,,,
48,Stamen number,5.62,5,,,
49,Sepal number,5.63,5,,,
50,Carpel/Style number,5.64,5,,,
51,Inflorescence type,5.65,1.5,,,
52,Inflorescence type,5.65,cyme,,terminal,
53,Physical defences on leaves,6.02,glabrous,,,
54,Physical defences on stems,6.03,glabrous,,,
55,Physical defences on flowers/fruits,6.04,glabrous,,,
56,Physical defences on buds,6.05,glabrous,,,
57,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
58,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
59,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
60,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
61,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
62,Ellenberg: pH,7.16,,,Data calculated for Europe,
63,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
64,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
65,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
66,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
67,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
68,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
69,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
