,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,182,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,Dynamics,2.03,declining,-,-,
8,First historical record: 1. date,2.04,1562,-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,1.83,-,-,
13,EW Index,2.14,3.16,-,-,
14,number of European countries in which native,2.17,30,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,80,-,-,
18,Height: 4. typical minimum (cm),3.06,30,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf shape: 6. petiole,3.14,sessile,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf area (cm2),3.17,1-10,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,therophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
37,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
38,Flowering time: 1. earliest month,5.07,5,-,-,
39,Flowering time: 2. latest month,5.08,7,-,-,
40,Photoperiodism: 1. type,5.1,long-day,,-,
41,Pollen vector,5.15,insect,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Chromosome number(s): 1. number,5.25,28,,-,
44,Dispersule size - length of longest axis (mm),5.3,3.5,nutlet,-,
45,Seed size - length of longest axis (mm),5.31,3.5,nutlet,-,
46,Seed weight: 3. mean (mg),5.34,5.7262,,,
47,Seed weight: 3. mean (mg),5.34,6,-,-,
48,Seed weight: 3. mean (mg),5.34,6.28,,,
49,Seed production: 1. maximum (/flower),5.35,4,-,-,
50,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
51,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
52,Time of germination (season),5.39,spring,-,-,
53,After-ripening requirement,5.4,absolute,,-,
54,Normal method of propagation,5.52,seed,-,-,
55,Seedbank type,5.53,short-term persistent,-,-,
56,Seedbank type,5.53,transient,-,-,
57,Flower colour,5.58,white,"violet, blue",,
58,Petal no,5.59,5,,fused,
59,Petal (sepal) size (cm),5.6,0.175,0.15-0.2,,
60,Stigma number,5.61,1,,,
61,Stamen number,5.62,5,,,
62,Sepal number,5.63,5,,,
63,Carpel/Style number,5.64,1,,,
64,Inflorescence type,5.65,cyme,,terminal,
65,Physical defences on leaves,6.02,soft hairs,-,-,
66,Change Index,7.03,-1.91,,,
67,Biome,7.04,Southern Temperate,,,
68,Eastern Limit,7.05,Euro-Siberian,,,
69,Continentality,7.06,Not continental,,,
70,Northern Limit in Britain,7.07,No,,,
71,Southern European Limit,7.1,No Data,,,
72,January mean temperature,7.11,3.7,,,
73,July mean temperature,7.12,16,,,
74,Annual precipitation,7.13,755,,,
75,Ellenberg Indicator: Light,7.14,5,,Data calculated for Europe,
76,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
77,Ellenberg Indicator: Light,7.14,8,,,
78,Ellenberg : Moisture,7.15,4,,,
79,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
80,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
81,Ellenberg: pH,7.16,7,,,
82,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
83,Ellenberg: pH,7.16,7,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,5,,,
85,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
87,Ellenberg Indicator: Salt,7.18,0,,,
88,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
89,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
90,Life Form: normal state,7.19,Therophyte,,,
91,Clonality: normal state,7.21,Little or no vegetative spread,,,
92,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
93,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
94,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
