,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Water nutrients,1.01A,oligotrophic,-,-,
2,Salinity,1.05,fresh,-,-,
3,Salinity,1.05,fresh,-,-,
4,Soil pH: 1. extreme maximum,1.06,8.0,-,-,
5,Water pH: 1. extreme maximum,1.06A,8.3,-,-,
6,Soil pH: 2. extreme minimum,1.07,5.5,-,-,
7,Water pH: 2. extreme minimum,1.07A,4.8,-,-,
8,Water pH: 3. typical maximum,1.08A,8,-,-,
9,Shade,1.10,none,-,-,
10,Maximum depth of leaves,1.10A,>0.5m,-,-,
11,Maximum depth of leaves,1.10A,>0.5m,-,-,
12,Altitude: 1. maximum recorded (m),1.12,745,-,-,
13,Altitude: 1. maximum recorded (m),1.12,746,-,-,
14,Altitude: 2. minimum recorded (m),1.13,0,-,-,
15,Altitude: 4. typical minimum (m),1.14,0,-,-,
16,Flow,1.15A,nil,-,-,
17,Status,2.01,native,-,-,
18,Typical abundance where naturally occurring,2.02,frequent,-,-,
19,First historical record: 1. date,2.04,1677,-,-,
20,First historical record: 2. site,2.05,Westmorland,-,-,
21,Range: 3. continents where native,2.11,Europe,-,-,
22,Range: 3. continents where native,2.11,North America,-,-,
23,SN Index,2.13,7.23,-,-,
24,EW Index,2.14,6.15,-,-,
25,British distribution (post 1949 records),2.15,299,-,-,
26,number of European countries in which native,2.17,13,-,-,
27,Stems: 1. woodiness,3.01,non-woody,-,-,
28,Leaf position,3.02A,submerged,-,-,
29,Height: 1. extreme maximum (cm),3.03,117,-,-,
30,Height: 2. extreme minimum (cm),3.04,15,-,-,
31,Height: 3. typical maximum (cm),3.05,60,-,-,
32,Height: 4. typical minimum (cm),3.06,20,-,-,
33,Spread,3.07,height = width,-,-,
34,Heterophylly,3.08,none,-,-,
35,Leaf shape: 1. type,3.09,simple,-,-,
36,Leaf shape: 2. outline,3.10,entire,-,-,
37,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
38,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
39,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
40,Leaf shape: 6. petiole,3.14,sessile,-,-,
41,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
42,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
43,Leaf area (cm2),3.17,1-10,-,-,
44,Leaf longevity: 1. type,3.22,evergreen,,-,
45,Root system,3.24,adventitious,-,-,
46,Root system,3.24,fibrous,-,-,
47,Root hairs,3.28,absent,-,-,
48,Photosynthetic pathway,4.02,C3,-,-,
49,Mature leaf N concentration (mg/g),4.03,20-30,,-,
50,Mature leaf P concentration (mg/g),4.04,1-2,1mg/g,-,
51,Heavy metal resistance,4.05,none,-,-,
52,Carnivory,4.06,does not kill insects,-,-,
53,Nutrition,4.07,autotrophic,-,-,
54,Response to drought,4.08,wilts and dies,-,-,
55,Response to frost (non-woody tissue),4.09,resistant,-,-,
56,Life-form,5.01,hydrophyte,-,-,
57,Age at first flowering,5.03,2-5 yrs,'several years',-,
58,Mono/poly-carpic,5.04,polycarpic,-,-,
59,Vegetative reproduction/persistence: 1. method,5.05,buds,-,-,
60,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
